Title,Location,Url,Details.Raised,Details.Target,Details.MostRecentDonation,Details.Created,Details.Organization,Details.OrganizationDetails,Details.DonationCount,Details.Story
"Springbank Community Food Bank","Cheltenham, South West England, United Kingdom",https://www.gofundme.com/f/springbank-community-food-bank,3575,5000,2020-05-10T11:30:32.0000000-05:00,03/29/2020,,,104,"Springbank Community Food Bank has been established to meet the demand of individuals and families in Springbank and across Cheltenham and Churchdown needing emergency food parcels in light of the Covid-19 pandemic. 
In the first 21 days since we have distributed 318 emergency food parcels to those that need them. 
However we are desperately running low on items to give and require your help and support in order to replenish our supplies so we can continue helping those that need it."
"Wade Hall Food Bank","Leyland, North West England, United Kingdom",https://www.gofundme.com/f/wade-hall-food-bank,1351,50,2020-05-15T08:31:55.0000000-05:00,03/20/2020,,,39,"In light of the recent developments due to the Coronavirus and people being unable to work / children being off school and shortages of food and supplies we have decided to set up a crisis food bank at The Place, Wade Hall, Leyland. We aim to help the vulnerable, the elderly, underpriviliged families, also no discrimination as to whether people work or not as we recognise many people will be struggling who have not been in this position before."
"Raise money for Caithness Foodbank","Wick, Scotland, United Kingdom",https://www.gofundme.com/f/food-bank-amp-small-businesses-fund,440,200,2020-05-14T12:24:29.0000000-05:00,04/30/2020,,,31,"I have decided to challenge myself by cycling the equivalent of NC500 (North Coast 500) during the whole month of May to raise money for our community. NC500 is a route in the Scottish Highlands covering the West and East Coast. I will be managing the equivalent by cycling a certain distance per day throughout Caithness. I will be using the app “MapMyRun” (can change to cycling) to measure the distance each day up until 516 miles is complete! The proceeds will go towards our local food bank of which is busier than ever during this pandemic (big thank you to Pat & Grant Ramsay, and their volunteers). These guys help people with emergency food supplies and aid them to getting back on their feet - and I’m sure at a time like this there will be a fewof us struggling! Any other monies raised I will put towards the retail services in Wick and small businesses - as they are the ones keeping their doors open allowing us to get our basic needs. Our NHS and carers are all doing a fantastic job, as are the retail and community members, etc etc! So a huge thank you to every key worker in Caithness. "
"Barton-Le-Clay Food Bank","Barton-Le-Clay, East of England, United Kingdom",https://www.gofundme.com/f/bartonleclay-food-bank,1537,2500,2020-05-13T08:28:07.0000000-05:00,04/17/2020,,,50,"Hi,

As COVID-19 seems to take us by surprise day by day we feel like now is the right time to act as a community to help those most in need.

How will your donation help?

This particular service will help us supply food and essentials to the vulnerable and those most in need in Barton. We will personally be out buying and delivering the essentials to do our bit to help the community.

All food and other donations can be dropped off to the given address on our Facebook Page, which also includes more information if you are in need of our help.

We would like to stress that this is a totally non-profitable origination and that any left over funds will be going direct to the NHS.

Follow our journey: https://www.facebook.com/bartonfoodbank/?__tn__=%2Cd%2CP-R&eid=ARCcSUTPV6BkMLzYUuSwnZgdMKcBMeGrChv5KnF5osnXXuLf5DXQEuOhggbBMgDbhYWLCAfASgXmNBOt

#staysafe"
"Raising money for in-patients and food banks","London, Greater London, United Kingdom",https://www.gofundme.com/f/raising-money-for-inpatients-and-food-banks,2743,10000,2020-05-13T07:38:24.0000000-05:00,04/18/2020,,,94,"My name is Mohini, I am a staff nurse looking after covid-19 patients. 

Although we are trying our level best in treating patients affected by covid-19 in hospital, I feel that there is a lot more we need to do to help these patients in hospital as well as those affected by this pandemic in the community.

Many people are temporarily out of jobs and are struggling to make ends meet. Basic necessities such as food supply and toiletries for many families has become a burden. Families are having to resort to food banks to ensure that their families have something to eat. However, food banks are also in major crisis as they are opening their doors to more people than ever before during this covid-19 pandemic. Provisions that they would normally be supplying per week is now being distributed within a day. 

At the same time, many patients in hospital are taking their last breaths of life alone without any relatives beside their side. Families are yearning to see and hear the voices of their loved ones fighting this disease in hospital alone. Yet, due to the highly contaminated nature of this disease, many hospitals are reluctantly having to stop normal hospital patient visiting times. Many patients with a background of dementia and/or Alzheimer's find it very difficult to understand why they are in hospital and what is happening to them. More so, being in an unfamiliar hospital environment without any families visiting them makes it even more difficult for them in aiding their recovery. It breaks my heart that families cannot come to see their loved ones knowing that they are in their last few hours or days of life. 

The reason I am setting up this fund raising page is to help both patients and families to be connected in the hospital as well as those affected by covid-19 in the community. The money we raise will be used for two primary causes:

1) To collect enough money to buy food and basic toiletries that can be distributed to local food banks to keep up the pressure of ensuring that nobody goes hungry during this covid-19 pandemic. 

2) To collect enough money to buy electronic ipads, phones and phone chargers for patients to stay connected through face-time with their families on the outside whilst they are fighting off this disease alone in hospital. 

Charity does not decrease one's wealth, in fact charity is like a flowing river, you can only gain from its clean water. ""The best of us are those who bring greatest benefits to others"". 




Thank you =)"
"Romney Marsh Morris for Shepway Food Bank at Xmas","Ashford, South East England, United Kingdom",https://www.gofundme.com/f/romney-marsh-morris-for-shepway-food-bank-at-xmas,462,360,2019-12-15T09:40:24.0000000-06:00,12/05/2019,,,16,"This year the Romney Marsh Morris have been collecting money for their chosen annual charity - The Shepway Food Bank. We are £364 away from raising £1000 to support the local community foodbank which is straining under the pressure of more and more users. We will be making donations rather than sending Christmas cards to eachother. Will you do something for your community this Christmas?"
"Elias Mattu Foundation Food Bank","Wolverhampton, West Midlands, United Kingdom",https://www.gofundme.com/f/elias-mattu-foundation-food-bank,2415,3500,2020-05-16T18:38:49.0000000-05:00,03/29/2020,,,67,"Elias Mattu Foundation is supporting around 50+ households across Wolverhampton by delivering them food parcels.

But stocks are running low, and the foundation urgently needs basic food items such as cereal, pasta, pasta sauce, soup, beans, tinned vegetables, fruit, biscuits, rice, eggs, sugar, tea bags, coffee and milk to continue offering support.

Elias Mattu Foundation had been helped by Lakshmi Sweet Centre Restaurant in Blakenhall, for hot meal on a daily base but needed others to come forward.

Some of the people we are helping are on benefits, and are elderly and vulnerable. A lot of them can't get out of the house because they are self-isolating and have no one else to do the shopping for them.

We are desperate to keep on supporting them but we need food donations.

For more information visit the Elias Mattu Foundation's Facebook page, or call Asha Mattu on 07904 310530.

Food items can be dropped off at a number of 6 Milford Road, Blakenhall, Wolverhampton, WV2 4NG."
"Boa Vista CV A friend in need is a friend in deed","Rossett, Wales, United Kingdom",https://www.gofundme.com/f/boa-vista-food-bank,335,500,2020-05-01T04:45:54.0000000-05:00,04/20/2020,,,11,"The beautiful Island of Boa Vista, Cape Verde, will have been the dream destination for many I'm sure. The island is an island of tourism, many of the inhabitants come from the other islands in Cape Verde to work and rely on the wealth of the world for their survival. The island is poor at the best of times, relying solely on tourism. The wages are low but the cost of living is the same as the UK, if not more. Some essential items like Paracetamol can cost an average of £5 per packet, completely unaffordable by the locals. Like the rest of the world, the island is now in quarantine, but this means the islanders are not allowed to leave to travel back to their native islands and live with their families. Without tourism, the locals are without wages and money or financial aids to support themselves - yet are expected to live and survive on next-to-nothing. There have been a few charities set up and have already started to hand out some food to the families, but it's not enough. With majority of supplies coming from overseas and high demand, the local shops have doubled their prices, so food is considerably more expensive and unafforadable for most. My daughter, Chiara often says to me ""Mum, you can't save everybody"" and of course I know she's right. Whilst I know money is tight in the UK and around the world, I just cannot ignore how these locals, who depend on the rest of the world must feel. I feel compelled to try to help them, hence this ""gofundme"" page. The monies will go directly to the locals to buy basic food, of rice, vegetables, water and supplies and distributed to the families in need. I hope you will consider their plight and help, any small donation will help and be a significant difference to those who need it the most. There will be difficult months ahead until tourism replenishes the island again, but they are the most fantastic and beautiful hosts. The islanders of Boa Vista will welcome you and any guests with open arms, today and always - so much you will never want to leave their beautiful island. Lastly, I thank you for taking the time to read this on behalf of the locals whom depend on tourism for survival. Myself, like everyone else really hope we can all return to what was once normal life soon, but in the meantime let’s do our best to look after those who treat us with nothing but love and kindness. Much Love Bruna. This is a request for help, on behalf of Igor Tequila and the Islanders on Boa Vista https://www.gofundme.com/f/boa-vista-food-bank"
"Covid-19 Kingswood Food Bank","Bristol, South West England, United Kingdom",https://www.gofundme.com/f/covid19-kingswood-food-bank,1351,2000,2020-05-15T03:51:54.0000000-05:00,03/23/2020,,,36,"During the Covid-19 period, we are expecting a large number of families in the area to need extra support. We are asking for donations to the food bank (which will be based at the Holy Trinity Church in Kingswood). We have a few wholesalers involved who we will be able to order supplies from.

Please donate what you can during this time! You’re donations will ONLY be used for food and PPE where necessary for the volunteers. 

If you would prefer to donate food rather than money, details will be available on the Kingswod Covid-19 Facebook page very soon! 

Thanks all, Vicky xxx"
"Torsten takes a tumble for local food banks","Partington, North West England, United Kingdom",https://www.gofundme.com/f/torsten-takes-a-tumble,380,370,2020-05-05T11:06:55.0000000-05:00,04/27/2020,,,40,"Torsten is raising money on behalf of Abbotsford Prep school who are organising food bank collections with Manchester Vineyard to provide food for families who are most effected by covid-19

We hope to raise enough money to create essential food parcels to be picked up and distributed amongst those in need. Help us to reach our target by sponsoring Torsten to do ten roly polys each day until he reaches 100. "
"Nexus Studios: Supporting Hackney Foodbank","Nexus Productions Ltd, Greater London, United Kingdom",https://www.gofundme.com/f/nexus-studios-hackney-foodbank,1140,1000,2020-04-27T05:48:36.0000000-05:00,04/03/2020,"THE HACKNEY FOODBANK","Registered nonprofitDonations eligible for Gift Aid.",61,"We believe as a company that now more than ever, Foodbanks need our help and support through these difficult times. 

With an increase in the number of people out of jobs due to COVID-19, there has been a higher demand and pressure put on food banks to supply to the vulnerable, elderly and poor families. 

Emma Revie, the chief executive of the Trussell Trust, the UK’s largest network of foodbanks said “It’s really concerning...We are anticipating a significant increase in users as more people are unable to work.”

Based in Shoreditch London, we will be supporting our local Hackney Foodbank. At this time, we also incentivise anyone willing to do more for their communities and help people in this pandemic. 

Check out other notable fundraisers below

Donate a ride for the NHS (Addison Lee) 
https://www.gofundme.com/f/donate-a-ride-for-the-nhs

Frontline Medical Support to NHS
https://www.gofundme.com/f/frontline-medical-support

Helping hands (Beauty Banks) 
https://www.gofundme.com/f/helpinghands-for-covid19


Thank you for your generosity. 

Stay safe, 
Nexus Studios"
"STOCKS ARE RUNNING LOW - HELP THE FOODBANK","Ballycastle, Northern Ireland, United Kingdom",https://www.gofundme.com/f/pp6fue-help-foodbanks-feed-people-during-coronavirus,3555,5000,2020-04-27T00:46:19.0000000-05:00,03/26/2020,,,81,"As the situation unfolds in relation to COVID-19 we are raising vital funds so that Ballycastle Foodbank can respond to increasing demand. We are facing an unprecedented challenge and so any donation will be warmly welcomed as we continue to support those people most in need. Many of the primary locations used to donate food to are now closed, there are little or no opportunities to give food directly to the Foodbank BUT they still need stock. 

As the impact of coronavirus takes hold, and the knock on effect of unpaid work, unfulfilled contracts, zero hours workers getting literally zero hours, new universal credit claims, currently a six week delay, who knows how much longer it will be with so many new claims to process?. More and more people are going to find themselves at the door of the food bank, only to find that their shelves are empty too.

We don't know how COVID-19 is going to end up. We have no idea of the impact on our economy, society, communities. But poverty is already isolating, lonely, and exhausting. If we all turn inwards and only look after ourselves, more and more people are going to slip through the cracks.

All the money raised here does directly to Ballycastle Foodbank who will use it to support people in need and at risk of food insecurity and hunger.

If you can't afford to donate - sharing it on social media is free. 

Thank you for your support."
"Donations for Hope Agency School/Foodbank","Saint Leonards-on-Sea, South East England, United Kingdom",https://www.gofundme.com/f/donations-for-hope-agency-schoolfoodbank,365,150,2019-07-19T08:58:09.0000000-05:00,07/03/2019,,,16,"As some of you might know, I’m currently volunteering in Cambodia at Hope Agency Before coming out here, my biggest worry was that it wasn’t going to be sustainable and I was going to accidentally end up being a dreaded “white saviour”, but I couldn’t have been proved more wrong. The work this school is doing is phenomenal and I feel so privileged to be able to experience this, and I am already looking forward to the next 2 and a half weeks to come!

The object of the project is to teach English to the children in the village, so they have better job prospects than just rice farming, sweatshop work or prostitution. They also run a food bank project, helping some of the poorest families to become self sustainable and giving them food packages that they wouldn’t otherwise be able to afford.

The last few weeks teaching has been a real eye opener, and one of my highlights so far has been teaching my pre intermediate class all about women’s rights and gender inequality, they are so willing to learn it’s infectious.

I am asking for donations to be able to treat our children on Fun Friday, as lots of them have extremely hard lives and so this fortnightly treat is something they really look forward to! Any remaining money left over from fun Friday will go straight to the food bank project. 

Many thanks"
"Complete head shave for Hyndburn Food Banks","Great Harwood, North West England, United Kingdom",https://www.gofundme.com/f/complete-head-shave-for-hyndburn-food-banks,1080,1000,2020-04-30T10:02:11.0000000-05:00,04/18/2020,,,67,"I have seen the impact of Covid-19 on food banks in Hyndburn. The demand has increased exponential and will continue to do in the coming weeks. I want to able to help in an innovative way.

So if I raise £250 I will let me wife shave my head clean.

So please do help me lose my ever decreasing head of hair for a worthy cause"
"St Michaels Church Food Bank","Birmingham, West Midlands, United Kingdom",https://www.gofundme.com/f/st-michaels-church-food-bank,190,100,2020-04-30T09:57:16.0000000-05:00,04/16/2020,,,15,"The Food Bank is running from Woodgate School for school requests and some parcels are going out from church. We are very low in supplies. Please could you ask your staff if they could make a donation either financially or in tins and packets. There is a box in the Vicarage porch for tins, money can be placed in an envelope and put through my letter box. Since last Monday I have handed out 12 parcels with all but two going to families with school age children. If you contact me larger quantities can go into church. I know it is hard doing the shopping so I'm saying please bring items that your family don't eat or you don't need that week. Money is useful as I can use it as John's Discount and they will deliver. We need all the basics such as peas and carrots, hot dogs, tins fruit, spaghetti, baked beans etc. Rev Ruth"
"Oldham foodbank break in","Oldham, North West England, United Kingdom",https://www.gofundme.com/f/oldham-foodbank-break-in,7110,1000,2019-01-18T01:49:59.0000000-06:00,01/08/2019,,,288,"Hi I'm one of the volunteers at Oldham Foodbank, as you maybe aware we was broken in to over the weekend and the devastation was found by one of charity partners. 
The individual /individuals have taken tablets that were used for referrals to the fuel bank to enable those in crisis to receive an emergency payment and for a nationwide surveys into foodbank from Edinburgh university. They have taken our main hard drive /pc all are password protected . They have obviously ransacked the office and damaged our filing cabinets. Along side the items we need to replace , they have taken around £200 that was donated over the Christmas period which obviously provides much needed funds for the day to day running of the foodbank. Food was taken too, so we are putting an appeal out for tinned fish, rice pudding, tinned fish , tinned tomatoes and uht milk. 
We as a charity can little afford the extra costs incurred to replace the more valuable items and office furniture. Any donations will be greatly received and used to help to wider community .


As stated our original target was £1000 and we have blown away by the generosity of the wider public. I am one of the merry band of volunteers at Oldham Foodbank. We offer assistance to those in crisis with food parcels for 3 days . As we have smashed our target , extra money raised will be used to enhance our current security systems to prevent ourselves from being targeted again . Furthermore the money raised will secure day to day expenses of the Foodbank for the foreseeable future , enabling us to continue to provide to those in need and crisis. 
All monies raised is to be transferred to Oldham Foodbank bank account which is run by our Trustees. 

Update on 17/5/19 

We are in the process of withdrawing funds , The funds will be withdrawn via the manager of the Foodbank and promptly transferred to the Oldham Foodbank account which the Trustees will be able to allocate funds as we require them . 
Once again Thank you , a photo showing the transfer and statement will be placed via this page for transparency. 

"
"RunAdvent for Sharing Life Trust (Thame Food Bank)","Thame, South East England, United Kingdom",https://www.gofundme.com/f/runadvent-for-sharing-life-trust-thame-food-bank,1460,960,2020-01-05T02:54:44.0000000-06:00,11/26/2019,,,55,"I’m raising money for Sharing Life Thame. They facilitate the Thame Food Bank and work to meet many other needs in the local community and beyond.

I’m aiming to run/jog each day in advent, starting with 1k on December 1st, 2k on the 2nd and so on until the big 24k run on Christmas Eve. If I manage to get to the end it will be a total of 300km in 24 days.

As well as donating, I’d love to have people to run/jog with for some of the way!"
"Montgomery Hall Food Bank - response to COVID-19","Wath-Upon-Dearne, Yorkshire and the Humber, United Kingdom",https://www.gofundme.com/f/montgomery-hall-food-bank-response-to-covid19,1707,3000,2020-05-13T09:54:47.0000000-05:00,04/19/2020,"WATH - UPON - DEARNE COMMUNITY PARTNERSHIP","Registered nonprofitDonations eligible for Gift Aid.",60,"Do you want to join me in making a difference? I'm raising money in aid of WATH - UPON - DEARNE COMMUNITY PARTNERSHIP and every donation will help. Thank you in advance for your contribution to this cause that means so much to me. In response to COVID-19, Montgomery Hall has risen to the challenge of providing a food bank to help provide care packages for the elderly and vulnerable in Wath and surrounding areas. Food provision is running low and we need funds to purchase more food."
"100 Miles in May for Omagh Food Bank","Sixmilecross, Northern Ireland, United Kingdom",https://www.gofundme.com/f/100-miles-in-may-for-omagh-food-bank,430,500,2020-05-16T05:19:02.0000000-05:00,04/30/2020,,,32,"If you know me, you know I DON'T run but since lockdown and the closing of gyms I started doing a few km every few days and learned that I actually enjoyed it a bit so I am going to take part in this challenge: 100 Miles of May I want to try and run 100 miles on the entire month of May. For a lot of you out there this is probably easy peasy but for me this is MY Everest!!! My aim is to raise at least £100 for Omagh's Food Bank Appeal as I have seen people who receive this help and it does make a world of difference to them,its the difference between having a warm meal or going hungry so I want to try and do a wee bit to help if I can. All donations are welcome and when May is over I will give all money to the organisers of the Food Bank and they will go to the shop and use 100% of the money and buy the needed necessitates for local people."
"Cressing Primary School's Food Bank Fund","Tye Green, East of England, United Kingdom",https://www.gofundme.com/f/1yzhcdqcdc,855,300,2020-05-16T03:51:52.0000000-05:00,04/06/2020,,,37,"Katrina Holding, a parent from the school came to us with a fantastic idea to help raise money for our food bank. Katrina enjoys writing stories for children in her spare time. Some of her stories have been shared with the children in our school and she has recieved some amazing feedback from the children who have loved her stories. She has kindly shared another story with us, that she has written about the Coronavirus. This is to, hopefully, enable us to raise funds for our food bank that has been extremely useful to those in need at this difficult time. Not only that, it has helped 71 families so far. If you'd like to, you can make a donation here, but only if this is feasible. The smallest amount of money can make the biggest difference. WE THINK THIS STORY IS BRILLIANT! We hope you enjoy it too! Here is the story read by our Headteacher Mr. Caplen: https://youtu.be/kzxD9W8-6Mo"
"Essex Coronavirus Action Urgent Food Bank Appeal","Dunmow, East of England, United Kingdom",https://www.gofundme.com/f/ecafoodbankappeal,2633,50000,2020-05-04T08:05:57.0000000-05:00,03/27/2020,,,104,"The Coronavirus outbreak may have only been affecting Essex for a couple of weeks, but one very worrying trend is already emerging - a sharp increase in people requesting help from food banks across the county.

Many people have already lost their jobs, or they are in a state of uncertainty while awaiting news, and self-employed workers are finding themselves in a similar position - many are asking for a referral to a food bank for the very first time.

We are getting reports from the ground that food donations are gradually slowing down, and so at Essex Coronavirus Action we are raising funds to provide immediate payments to a number of food banks around Essex for the purchase of food and supplies. We are also in discussions with a number of retailers to make sure that food banks can purchase the items that they are running short of, while still managing to respect the new guidelines about reserved shopping hours for those who need them.

Every donation will be held in a bank account in the name of the Essex Association Of Local Councils, in trust on behalf of Essex County Council, ready for direct distribution to local food banks across the county.

Essex Coronavirus Action is a collaboration between Essex County Council, The Essex Public Health Team, and local Facebook groups across Essex. For more information, please visit our Facebook page.

If you have any questions, please contact Kirsty O'Callaghan, Head of Strengthening Communities at Essex County Council, at kirsty.ocallaghan@essex.gov.uk"
"EMERGENCY FOOD BANK COLLECTION","Little Neston, North West England, United Kingdom",https://www.gofundme.com/f/1xi449cko0,260,250,2020-03-23T17:31:50.0000000-05:00,03/17/2020,,,12,"Ok so with the recent Corvid-19 crisis I am concerned about the most vulnerable people in our society missing out on emergency food due to others panic buying/overstocking their homes. The demand for food packages is likely to increase as people are forced to leave their jobs, have a reduced household income and be completely isolated. I know it's scary and seeing others stock up on canned goods and toilet roll may be pushing you into wanting to do the same but I implore you to remain calm and think of others during this difficult time. If you are healthy enough to get to a grocery shop and buy fresh food please do so, if you have friends/family around you who could easily bring you groceries if you have to self isolate please do so, if you are able to utilise online shopping while isolating please do so and leave food on the shelves for those who desperately need it. And while I have your attention if you can please donate to this fundraiser so that I can I put together a donation for local food banks. I will be shopping carefully and sensibly, visiting different stores and shopping on different days to avoid wiping out a grocery stores dwindling supply of baked beans etc and I shall be trying to buy items with long shelf lives that are not currently in high demand. Any donation big or small will make a massive difference! Let's utilise our British community spirit and help those who need it most ❤️ "
"Be My Guest Food Bank Appeal","Bexhill-on-Sea, South East England, United Kingdom",https://www.gofundme.com/f/be-my-guest-food-bank-appeal,351,100,2020-05-15T14:56:42.0000000-05:00,04/07/2020,,,31,"Be My Guest is raising funds to buy items for Hastings food bank during the Covid-19 crisis.
Donate what you can and all money raised will be spent on buying essential food and sanitary items for those in Hastings who rely on the food bank to just survive at the moment.

Be My Guest is broadcast live on Facebook every Friday and Saturday evening. Come join the fun!"
"Ockbrook & Borrowash Food Bank Appeal Fund","Ockbrook, East Midlands, United Kingdom",https://www.gofundme.com/f/ockbrook-and-borrowash-food-bank-appeal-fund,1410,1500,2020-05-12T21:03:28.0000000-05:00,04/29/2020,,,54,"We are raising money to support the Ockbrook and Borrowash Food Bank appeal. The money will be used to buy vital and essential items for our residents most in need."
"Help sustain the foodbank","Blackburn, North West England, United Kingdom",https://www.gofundme.com/f/help-sustain-the-foodbank,801,500,2020-04-07T15:59:55.0000000-05:00,03/24/2020,"Al-Imdaad Foundation (UK)","Registered nonprofitDonations eligible for Gift Aid.",35,"
With the current Covid-19 pandemic, there are so many people out there who are struggling for basic food. If we thought food poverty existed before, it has become a million times worse. I don't feel comfortable sitting back, when there are people in dire circumstances. We maybe in lockdown but let’s try and do our best to support our local food bank who requires our help to provide for the needy in the community. They are there for all, despite of faith, colour or background. The Food for thought project who are a part of Al-imdaad foundation and Blackburn rovers have teamed up to help support the food bank. 

Please can you help me raise a minimum of £500 which will help fund the project and get essential food for those who need it. 

Nafl Sadaqah and Lillah only please. 

Do you want to join me in making a difference? I'm raising money in aid of Al-Imdaad Foundation (UK) and every donation will help. Thank you in advance for your contribution to this cause that means so much to me.

More information about Al-Imdaad Foundation (UK): The Al-Imdaad Foundation is a registered UK charity providing humanitarian aid relief with registered offices in Indonesia Jordan and the head office in South Africa. We are dedicated to providing humanitarian services in crisis and non-crisis situations to most needy orphans, widows and destitute, irrespective of race, religion, culture and geographical boundaries."
"FOOD BANK","Saint Asaph, Wales, United Kingdom",https://www.gofundme.com/f/wv5qu-food-bank,165,200,2019-12-25T04:41:55.0000000-06:00,12/10/2019,,,20,"I am not buying Christmas cards this year, I was going to donate to a charity but have decided to try and raise some money to help those less fortunate, through no fault of their own. I will buy food with the money raised and donate it to the local food bank (pics will follow). Even if you can only spare £1, 4 tins of food can be bought, for families that are in need. 100 friends @ £1 is £100. So please give as much as you can spare any donation accepted and let’s help someone this Christmas. Thanking you all in advance and please share x"
"Corazón latino Food Bank","London, Greater London, United Kingdom",https://www.gofundme.com/f/corazon-latino-food-bank,1335,2000,2020-05-01T10:03:36.0000000-05:00,04/20/2020,,,35,"Who are we?
We are an Ecuadorian family who wants to kick-start a fundraiser for the Latin American community in London, who have been directly or indirectly impacted by the coronavirus and find themselves and their families in crisis economically being pushed below the poverty line. 



What we would like to do?
We would like to raise funds so we can buy and collect food supplies and toiletries and give them to those who are in need in the Latin American community.
We need the funds urgently and continuously for the next three months at least whilst the covid-19 crisis stabilises. 


Why is this important?
As the lockdown in London began in a matter of days, we fear many Latin American people in London, equally as the rest of Londoners, are suffering greatly, many may have either lost their jobs as many work in hospitality and catering or may be waiting on what's next for them once lockdown eases. Many may be now below the poverty line suddenly. 


What do we need?
Cash donations allow us to buy food at low prices directly via our chain of suppliers
or
Food and toiletries donations
or
vehicles (cars, bikes, vans) to collect and deliver food and toiletries parcels


Support us!
We Latinos are supportive and charitable, welcoming to those in need, so let's get together turning an uncertain situation into an opportunity to help each other.
We hope that other Latin American organisations and institutions, leaders, such as Cllr Maria Linforth-Hall Southwark & Directora de “Su Mano Amiga”, Cllr Belgica Guaña, businesses and the normal Latin person in the street join us. Let the 'invisibles' be seen and help. We can make a true difference at this time and let's not forget we all need a hand sometimes.

We are very grateful for all your help! 
¿Quiénes somos?
Somos una familia ecuatoriana que busca poner en marcha una campaña de recaudación de fondos para la comunidad latinoamericana en Londres, afectada directa o indirectamente por la crisis relacionada al Covid-19. Existen miles de familias que hoy atraviesan un momento crítico económicamente y cuyas finanzas han sido empujadas por debajo del umbral de pobreza.

¿Qué nos gustaría hacer?
Estamos trabajando en la recaudación de fondos para poder adquirir y recoger suministros útiles para el diario vivir, como alimentos y artículos de aseo, para su entregárselos a las personas más necesitadas en la comunidad latinoamericana.
Para hacerlo, buscamos fondos de forma urgente con miras a continuar con la campaña los próximos tres meses, que serán críticos, y al menos hasta que la crisis se estabilice.

¿Por qué es importante?
Debido a que las restricciones en Londres iniciaron repentinamente, tememos que muchos latinoamericanos en la ciudad, igual que el resto de londinenses, están sufriendo mucho. La posibilidad de que miles hayan perdido sus trabajos debido a la naturaleza de sus empleos (muchos trabajan en el sector hotelero y gastronómico) y la incertidumbre sobre el futuro de ese sector laboral en los próximos meses acentúa este momento crítico y, de repente, los enfrenta a niveles preocupantes de pobreza.

¿Qué necesitamos?
Las donaciones en efectivo nos permiten comprar alimentos a precios bajos y más convenientes, directamente, a través de nuestra cadena de proveedores
O
Donaciones de alimentos y artículos de aseo
O
Transporte (coches, bicicletas, furgonetas) para recoger y entregar paquetes de alimentos y artículos de aseo

¡Apóyanos!
Los latinos nos caracterizamos por nuestra solidaridad, somos caritativos, empáticos y siempre damos una mano a quienes más los necesitan. Esta es una nueva oportunidad para reunirnos y convertir una situación incierta en una oportunidad para ayudarnos unos a otros.

Esperamos que otras organización es e instituciones latinoamericanas y líderes, como la Cllr María Linforth-Hall Southwark y Directora de “Su Mano Amiga”, Cllr Bélgica Guaña Newham, empresas y la persona latina normal en la calle se unan a nosotros. Que quienes hoy son ""invisibles"" sean vistos y nos ayuden a ayudar. Podemos hacer una verdadera diferencia en este momento al no olvidar que todos necesitamos una mano a veces.

¡Estamos muy agradecidos por toda su ayuda!

"
"Barrow Celtic Food Bank Fundraiser","Barrow-in-Furness, North West England, United Kingdom",https://www.gofundme.com/f/barrow-celtic-food-bank-fundraiser,660,500,2020-05-10T13:51:39.0000000-05:00,04/12/2020,"BARROW FOOD BANK LIMITED","Registered nonprofitDonations eligible for Gift Aid.",43,"As a club, we have set ourselves a challenge to walk, run or cycle 2000 miles by the end of May. Every penny will go to Barrow Food Bank who have seen an unprecedented increase in demand. Thank you in advance for your contribution to this cause. "
"Le19 food bank donations","Narborough, East Midlands, United Kingdom",https://www.gofundme.com/f/supporting-families-that-receive-free-school-meals,400,200,2020-04-29T10:15:28.0000000-05:00,03/18/2020,,,17,"Given the current situation with the Coronavirus and the lack of guidance from our government this fund is set up to support the families that receive pupil premiums for the children to receive free school dinners. If the schools close it enables us to support this families to ensure they do not go hungry should the school close.

If this does not happen or any excess money is available the money will be donated to a food bank in Le19 area.

Thanks for your support"
"Square Mile Food Bank","London, Greater London, United Kingdom",https://www.gofundme.com/f/square-mile-food-bank,1205,4000,2020-05-04T05:55:14.0000000-05:00,04/04/2020,,,25,"The Square Mile Food Bank has been set up with the support of Age UK London to assist residents in the City of London who are in need of essential food and provisions. The food bank is available to all local residents, regardless of age. 

During the current Covid-19 pandemic, some food banks have closed and others are operating at reduced capacity. Many elderly and vulnerable residents are unable to rely upon their usual channels of support and many in the community have been affected financially due to the crisis and are unable to meet their basic daily needs. The Square Mile Food Bank is therefore a critical resource to ensure that those most in need can be provided with urgent, nutritious food supplies.

The food bank is volunteer led and relies solely on donations from members of the community, companies and other grant giving bodies. Any donation, large or small, will make a huge difference to ensure that we are able to reach as many people as need the service.

You can follow the activities of the SMFB on twitter at @SqMile_FoodBank."
