Key,Fundraiser,Raised,Charity,Operates,Postcode,Activities,Description,Address,FirstDonation,LastDonation
38,"LPC Singers",141.66,Crisis,India,"E13 0PY",,"
Crisis is the national charity for homeless people. We are committed to ending homelessness. 
Every day we see the devastating impact homelessness has on people’s lives. Every year we work side by side with thousands of homeless people, to help them rebuild their lives and leave homelessness behind for good.
Through our pioneering research into the causes and consequences of homelessness and the solutions to it, we know what it will take to end it.
Together with others who share our resolve, we bring our knowledge, experience and determination to campaign for the changes that will solve the homelessness crisis once and for all.
We bring together a unique volunteer effort each Christmas, to bring warmth, companionship and vital services to people at one of the hardest times of the year, and offer a starting point out of homelessness. 
We know that homelessness is not inevitable. We know that together we can end it.
Registered Charity Numbers: E&W1082947, SC040094
 

","Crisis,66 Commercial Street  London,London  E1 6LT",05/12/2019,17/12/2019
39,"Laundrapp Team",295.5,Crisis,India,"E13 0PY",,"
Crisis is the national charity for homeless people. We are committed to ending homelessness. 
Every day we see the devastating impact homelessness has on people’s lives. Every year we work side by side with thousands of homeless people, to help them rebuild their lives and leave homelessness behind for good.
Through our pioneering research into the causes and consequences of homelessness and the solutions to it, we know what it will take to end it.
Together with others who share our resolve, we bring our knowledge, experience and determination to campaign for the changes that will solve the homelessness crisis once and for all.
We bring together a unique volunteer effort each Christmas, to bring warmth, companionship and vital services to people at one of the hardest times of the year, and offer a starting point out of homelessness. 
We know that homelessness is not inevitable. We know that together we can end it.
Registered Charity Numbers: E&W1082947, SC040094
 

","Crisis,66 Commercial Street  London,London  E1 6LT",15/04/2020,02/05/2020
40,"Mark Bailey",115.75,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",25/04/2020,09/05/2020
41,"Max Richardson",1730,Centrepoint,,,,"Centrepoint gives homeless young people a chance to turn their lives around, build firm foundations, and prepare for a future where they realise their potential. We support over 10,000 16-25 year olds into a home and a job every year across the UK.
The first step in a young person’s journey at Centrepoint is having a place to live. Once they’ve moved in with Centrepoint, we give them a health assessment and plan support for their individual mental and physical health needs. We support them with a plan to reach their educational and career goals through providing work experience, life skills, educational classes, and guidance sessions. We start them on the path to more independence and a job.
Centrepoint work to change homeless young people’s lives around, and help them work towards a brighter future.
We can only continue our vital work thanks to the support of kind and generous fundraisers such as yourself. 
Thank you from everyone at Centrepoint!
Want to learn more and get involved? Connect with us: 
   ","Centrepoint Soho Ltd,Central House  25 Camperdown Street,London  E1 8DZ",08/12/2019,29/04/2020
42,"Network Rail",327.44,"Railway Children",,,,,"1st Floor,1 The Commons  Sandbach,Cheshire  CW11 1EG",06/04/2020,15/05/2020
43,"Neville Payne",571,"Huddersfield Town Foundation Limited","Manchester City","M22 4NQ","The availability of grants has been publicised. Grants were made in 2015 to 3 organisations in  Northenden, to enable publicity about Rose Hill, about activities in Northenden, and to facilitate investigation about community  property. No grants were sought or made in 2016.  The charity is small, with little income at present interest rates. Discussions have taken place re closure.",,"Huddersfield Town A F C Ltd,Stadium Way  Huddersfield,  HD1 6PG",06/02/2020,11/04/2020
44,"Niall Webb",165,"Stoke City Community Trust",,,,,"Stoke City Football Club,The bet 365 Stadium  Stanley Matthews Way,Stoke-on-trent  ST4 4EG",27/02/2020,28/02/2020
45,"Pam Sheemar and Harpreet Butoy",675,"Midland Langar Seva Society",,,,"Midland Langar Seva Societyis a charity to help the homeless and those in need around the UK.  The charity was established October 2013 in Walsall providing hot food and drink to those living on the street and those on the poverty line.   MLSS operates on Sikh based ethos, where we help and support all people from all cultures and backgrounds.
MLSS UK
MLSS over last 5 years expanded its services, and now works tirelessly across all major cities in the UK.  We have over 30k service users in the UK who need help and support in addition MLSS have formed many links with other charities, businesses and government / religious organisations combating homelessness together to make a better Britain. 
Please visit our website for a list of areas in UK.
MLSS distributes over 23k feeds per week across the UK alone with over 500 service volunteers and a fleet of vehicles to help support making it one of the largest homeless charities in the UK.  The food served is vegetarian so it is catered for all people from all backgrounds.  Along with food MLSS distribute clothes, blankets, footwear, winterwear and hygiene products. 
 Expanding on new initiatives such as period poverty, school breakfast clubs, women refuge centres, Army Veteran support and recently 24hr emergency parcel drop off.
In 2017 MLSS launched ‘Guru Nanak Dev Ji Langar Bus’ where MLSS bus now go to poverty-stricken areas and distribute with service-users coming onboard making use of the facilities in a warm and safe environment.  In time the bus will be used in disaster areas such as the Grenfell incident. 
Over the years MLSS have received many awards for the contribution and service to Britain: -
Local Awards across UK - 2013 - 2019
TSB Local Pride of Birmingham  - April 2017
Queens Award for Voluntary Service Group MBE - June 2018
Prime ministers Point of Light Award  - Jan 2018
Cross City Heroes Award - May 2019
Guru Nanak Asra Project, housing orphans and elderly in Punjab - Nov 2019
Christmas Eve party for service users in Birmingham - Dec 2019
Donation of Jaguar car from Jaguar Land Rover - Feb 2020 

MLSS Worldwide
As a result of the handwork in the UK, MLSS has successfully put projects abroad and subsequently the ‘Midlands’ on the world map.  MLSS are now operating in Germany, Bangkok, and made regular trips to Greece, France (Calais) and recently Thailand.
MLSS have progressed in India in Punjab serving those children / families who have been abandoned, displaced or become refugees.  Providing free education, clothing and support including their families.  In Sep this year MLSS provided assistance in marrying couples from poor backgrounds providing them with memorable days and a means of earning a honest living.
MLSS Donations
MLSS relies on donations from donators, businesses and the public to support the charity and require need regular income, any donation received can be chosen to our UK or World projects.  MLSS do not pay any volunteers.  Any donation is greatly received just as important please get in touch with us so you can also experience this service. MLSS is truly humbled by this opportunity presented and we move forward together with your support.
Langar is the term used in the Sikh religion or in Punjab for general or common kitchen / canteen where food is served for free, without prejudice regardless of race, religion, and background.

Truth is high but higher still is truthful living.(5)
– Guru Nanak Dev Ji - Ang62 Guru Granth Sahib Ji 
Find us on Social Media
Facebook
YouTube
Instagram
Twitter



","131 Bosty Lane,  Walsall,  WS9 0JX",19/03/2019,06/05/2020
46,"Patricia Manase",0,"Down's Syndrome Association",Essex,"CO2 7RN","Recording and preserving the oral history of the Colchester area","We are the only organisation in this country focusing solely on all aspects of living successfully with Down's syndrome.  
Our organisation is divided into various teams, including:
Information - run the helpline; provide people information about all aspects of living with Down's syndrome including specialist advisers on benefits, education, health and social care; advise new parents or anyone with questions; promote an facilitate information exchange between members through various groups; advise on employment for people with Down's syndrome.   

Fundraising - responsible for raising money for the association through events, sponsorship and trusts.

Communications - give key messages to the media, public and professionals; influence policy making; responsible for external publications.

Training - run courses throughout the UK for members, professionals and carers.

Membership - responsible for all administration surrounding new members, existing members and affiliated groups.","Downs Syndrome Association,The Langdon Down Centre  2a Langdon Park,Teddington  TW11 9PS",,
47,"Paul Jefferies",200,"YMCA Derbyshire",,,,"YMCA Derbyshire founded in 1847 is an independent Christian charity committed to helping young people, particularly at times of need, regardless of gender, race, ability or faith. 
Our two core service areas are accommodation and YMCA Key College. We provide accommodation at our Campus and in the community for people who find themselves temporarily without somewhere to live. Our belief is that stable accommodation and a journey that is person-centred will assist individuals in moving forward. 
Our vision is enabling young people and communities to thrive.","YMCA Derbyshire,770 London Road  Alvaston,Derby  DE24 8UT",21/02/2020,10/03/2020
48,"Peter Stott",496.88,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",30/04/2020,16/05/2020
49,"Primrose and George Everitt",220,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",10/05/2020,14/05/2020
50,"Richard Foord",176.54,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",10/05/2020,15/05/2020
51,"Robyn Neill",0,"Herts Young Homeless","Throughout London",,,"Herts Young Homeless – making a difference to the lives of young homeless people

At hyh, we believe that every young person deserves a safe, warm and comfortable home. We’re committed to making a real difference to the lives of young people aged 16 - 24 in the local community who are homeless or threatened with homelessness. We offer support, advice and information and help them achieve the skills they need to be able to live independently.
We work closely with vulnerable people and their families, using mediation to help them stay in their homes whenever we can, and if that’s not possible, providing practical solutions and crisis intervention to make sure they feel safe and secure in their new environment. 
hyh also gives valuable support to groups with specific needs, such as care leavers, young offenders, those with mental health issues and people recovering from drug and alcohol abuse. We want to make sure they have a firm base for a brighter future – and your fundraising activities are an essential part of this.
Where will the money go? 
All the funds you raise will contribute towards helping vulnerable young people who are either homeless or faced with homelessness find a safe place to live, receive support when they need it and have someone to turn to when they feel they have nowhere else to go. Most of all, you’ll be giving them hope and a real opportunity for a positive future.



 

","1st Floor,Gracemead House, Woods Avenue  Hatfield,Hertfordshire  AL10 8HX",,
52,"SHAZIA MAQSOOD",52,Crisis,India,"E13 0PY",,"
Crisis is the national charity for homeless people. We are committed to ending homelessness. 
Every day we see the devastating impact homelessness has on people’s lives. Every year we work side by side with thousands of homeless people, to help them rebuild their lives and leave homelessness behind for good.
Through our pioneering research into the causes and consequences of homelessness and the solutions to it, we know what it will take to end it.
Together with others who share our resolve, we bring our knowledge, experience and determination to campaign for the changes that will solve the homelessness crisis once and for all.
We bring together a unique volunteer effort each Christmas, to bring warmth, companionship and vital services to people at one of the hardest times of the year, and offer a starting point out of homelessness. 
We know that homelessness is not inevitable. We know that together we can end it.
Registered Charity Numbers: E&W1082947, SC040094
 

","Crisis,66 Commercial Street  London,London  E1 6LT",20/06/2019,29/02/2020
53,"Steve McGreal",265,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",02/05/2020,10/05/2020
54,"Steven Bonnard",185,"Albert Kennedy Trust",,,,"Coming out, or being outed as LGBTQ+ can lead to young people being made homeless. This is the reality for 77% of the young people akt supports. We proudly offer safe homes and better futures for LGBTQ+ people aged 16-25.","Unit B, Sawmill Studios,Parr Street  London,London  N1 7GW",03/02/2020,22/04/2020
55,"Stewart Brown",315,"Social Bite Fund",Zimbabwe,"ME14 2EX","To advance education in any part of the world in particular but not exclusively by providing for third world countries, books and equipment to school, polytechnic, university public and other libraries and by providing information and advice regarding the effective mans of providing these.","The Social Bite Fund (SC045232) is a registered Scottish charity with a mission to end homelessness in Scotland.
Profits from its Social Enterprise Cafes (in Edinburgh, Glasgow and Aberdeen) contribute to the mission, with 1 in 3 of its employees having experienced homelessness, or extreme barriers to employment. In addition to the cafes, Social Bite also has a restaurant called Vesta Bar & Kitchen, on Monday afternoons the restaurant opens exclusively to people experiencing homelessness to dine for free.
Since 2017 Social Bite has ran annual mass sleep out events called Sleep in the Park raising almost £8m with a further 18,000 people taking part. This movement has helped pioneer some innovitate programmes to help tackle the issues of homelessness here in Scotland. The Social Bite Village launched in 2018; a total of 10 nest houses were built on dissused council land in the north of Edinburgh to provide a safe and secure community for individuals to take the next step in life -a positive solution to unsuitable temporary accommodation.
In 2018 Social Bite ran its first youth fundraising campaign called Wee Sleep Out, a campaign encouraging young peple aged 8-16 to give up their beds for a night in support of ending homelessness. 5000 young people took part raising almost £100,000.
In addition to the Village, Social Bite has also invested £3m into Scotland's Housing First Pathfinder project, aiming at housing over 800 individuals by 2020. Housing First has proven successful in other countires around the world - tenants receive full wrap around support and studies show that after two years, individuals are able to sustain their own tenancy. You can find out more, including a count of how many individuals have been housed so far in Scotland at social-bite.co.uk/housing-first.
You can support the mission today by making a donation. Together we can end homelessness in Scotland.","1 Leith Walk,  Edinburgh,Midlothian  EH6 8LN",19/11/2019,20/12/2019
56,"Suzanne Slinger",20,"Barnabus Manchester",,,,,"45 Bloom Street,  Manchester,Greater Manchester  M1 3LY",12/03/2020,12/03/2020
57,"Telford  and Wrekin Council",65,Stay,,,,,"Meeting Point House Southwater Square,Town Centre  Telford,Shropshire  TF3 4HS",22/11/2019,31/12/2019
58,"Tess Elliott-Cameron",70.75,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",10/05/2020,11/05/2020
59,"Thomas Foord",176.54,"Churches Housing Action Team mid Devon Limited",Gloucestershire,"GL52 6QZ","The aim is to raise funds to support Holy Apostles Primary School children.","2020 marks 25 Years of tackling homelessness, avoiding evictions and bringing hope.
Our advisors help those who are living rough, facing eviction or in any housing need across Mid Devon.  We can also can help address debt issues. The service is offered free of charge to our clients. Currently we are supporting over 800 per annum. We also run a food bank and provide shower and clothes-washing facilities for those who are living on the streets.
For the 'Homeless 4 a Night event' go to: https:/****/fun-sleep","Coggans Well House Phoenix Lane,  Tiverton,Devon  EX16 6LU",10/05/2020,15/05/2020
60,"Uno Buses",206.74,"Herts Young Homeless","Throughout London",,,"Herts Young Homeless – making a difference to the lives of young homeless people

At hyh, we believe that every young person deserves a safe, warm and comfortable home. We’re committed to making a real difference to the lives of young people aged 16 - 24 in the local community who are homeless or threatened with homelessness. We offer support, advice and information and help them achieve the skills they need to be able to live independently.
We work closely with vulnerable people and their families, using mediation to help them stay in their homes whenever we can, and if that’s not possible, providing practical solutions and crisis intervention to make sure they feel safe and secure in their new environment. 
hyh also gives valuable support to groups with specific needs, such as care leavers, young offenders, those with mental health issues and people recovering from drug and alcohol abuse. We want to make sure they have a firm base for a brighter future – and your fundraising activities are an essential part of this.
Where will the money go? 
All the funds you raise will contribute towards helping vulnerable young people who are either homeless or faced with homelessness find a safe place to live, receive support when they need it and have someone to turn to when they feel they have nowhere else to go. Most of all, you’ll be giving them hope and a real opportunity for a positive future.



 

","1st Floor,Gracemead House, Woods Avenue  Hatfield,Hertfordshire  AL10 8HX",10/02/2020,30/04/2020
61,"Victoria Flynn",0,"Herts Young Homeless","Throughout London",,,"Herts Young Homeless – making a difference to the lives of young homeless people

At hyh, we believe that every young person deserves a safe, warm and comfortable home. We’re committed to making a real difference to the lives of young people aged 16 - 24 in the local community who are homeless or threatened with homelessness. We offer support, advice and information and help them achieve the skills they need to be able to live independently.
We work closely with vulnerable people and their families, using mediation to help them stay in their homes whenever we can, and if that’s not possible, providing practical solutions and crisis intervention to make sure they feel safe and secure in their new environment. 
hyh also gives valuable support to groups with specific needs, such as care leavers, young offenders, those with mental health issues and people recovering from drug and alcohol abuse. We want to make sure they have a firm base for a brighter future – and your fundraising activities are an essential part of this.
Where will the money go? 
All the funds you raise will contribute towards helping vulnerable young people who are either homeless or faced with homelessness find a safe place to live, receive support when they need it and have someone to turn to when they feel they have nowhere else to go. Most of all, you’ll be giving them hope and a real opportunity for a positive future.



 

","1st Floor,Gracemead House, Woods Avenue  Hatfield,Hertfordshire  AL10 8HX",,
62,"michael graham",0,"Cancer Research UK","Throughout London, Birmingham City, Blackburn With Darwen, Manchester City","M16 9QW ","General charitable purposes","About Cancer Research UK
Cancer Research UK is the world's leading charity dedicated to beating cancer through research. Over half of all cancer research in the UK is carried out by our scientists. We have discovered new ways to prevent, diagnose and treat cancer that together have saved millions of lives across the world. 
We have been at the heart of the progress that has already seen survival rates double in the last thirty years. But one in three of us will still get cancer at some point in our lives. Our groundbreaking work, funded entirely by the public, will help ensure that millions more people will survive.

","2 Redman Place,  London,  E20 1JQ",,
