Title,Location,Url,Details.Raised,Details.Target,Details.MostRecentDonation,Details.Created,Details.Organization,Details.OrganizationDetails,Details.DonationCount,Details.Story
"Strabane Foodbank Fundraiser","Clady, Northern Ireland, United Kingdom",https://www.gofundme.com/f/strabane-foodbank-fundraiser,404,500,2020-04-30T11:29:49.0000000-05:00,04/27/2020,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",25,"We have been in COVID-19 lockdown since March 23rd and the heightening of existing inequalities is sparking a food poverty crisis our area. Did you know here in the North, food poverty and food access is a problem in approximately 1 in 5 households? Statistics show that in 2017 thee were 94,378 school-aged children living in poverty. Do you want to join me in making a difference? Ill be completing 5k a day for 5 days to raise money in aid of Strabane Foodbank and every donation will help. Thank you in advance for your contribution to this cause that means so much to me.

More information about The Trussell Trust: The Trussell Trust, in conjunction with local communities, develops and runs sustainable projects in the UK tackling poverty and exclusion. Through the UK Foodbank Network and Community Enterprises we work with marginalised people in real need, providing practical care and support. www.trusselltrust.org."
"Ballymena Foodbank","Broughshane, Northern Ireland, United Kingdom",https://www.gofundme.com/f/ballymena-foodbank,295,500,2020-04-17T04:46:20.0000000-05:00,04/09/2020,,,24,"Hello my name is Chris and I am a postman in the Ballymena area. Myself and a few guys from work are dressing up whilst out on delivery to raise money for Ballymena food bank. Any donations would be greatly appreciated. The world is going through and extremely tough time at the minute and our aim is to keep people positive, provide customers with that friendly face they are used to seeing every day and try and have a laugh with the public and kids as we seek to work together through this troublesome period. "
"SUNDERLAND SOUP KITCHEN & FOODBANK FUNDRAISER 2019","Sunderland, North East England, United Kingdom",https://www.gofundme.com/f/christmas-foodbank-amp-homeless-shelter-fundraiser,18970,18000,2019-12-24T03:33:02.0000000-06:00,12/02/2019,,,789,"Christmas is one of the toughest times of the year for lots of people. Whilst many families over-indulge during the festive period, others struggle to put even the most basic meal on the table to feed their family - a harrowing reality of where Britain is at in 2019.

At the heart of Football is community, and at the heart of community are good people willing to dedicate their time and money to supporting those in need. No one wants to rely on food banks or soup kitchens to feed their children, but while we may feel powerless to fight the institution that has caused his hardship, we can fight to bring a modicum of security to the most vulnerable by giving a few spare coins or an hour of our time over to a cause like this. Where people would otherwise face malnourishment, food banks are the flickering flame of a beacon in an otherwise dark night.

The people at the Sunderland Foodbank and the Sunderland Community Soup Kitchen do an amazing job of ensuring that families and homeless people all over Wearside don’t go without - but unless people assist with their kind donations, none of it is possible.

Whatever you can give, it all helps.

- We have chosen this year to support the Sunderland Community Soup Kitchen and the Sunderland Foodbank, with all donations going to the two organisations. Please give generously - support your local community at this difficult time.

- On Wednesday 11th of December we will proceed with distributing the funds to the two charities, who will use the money this Christmas to feed the hungry and homeless in Sunderland. Sunderland Community Soup Kitchen feed people seven days a week and will now be able to buy pallets of fresh produce to cook with, whilst the foodbank will be able to use the money to produce emergency three day food parcels.
"
"Employees of ClG campaign for STOCKPORT FOODBANK","Stockport, North West England, United Kingdom",https://www.gofundme.com/f/cig-campaign-for-stockport-foodbank,1145,200,2020-05-04T13:58:26.0000000-05:00,05/01/2020,"STOCKPORT FOODBANK","Registered nonprofitDonations eligible for Gift Aid.",54,"Want to join me in making a difference? I'm raising money to benefit STOCKPORT FOODBANK, and any donation will help make an impact. Thanks in advance for your contribution to this cause that means so much to me.

We at CIG are very lucky people, we work for a company that cares for us and pays us and allows us to work from home. 

With the care packages sent out i was thinking that there must be a lot of needy people needing support with food and care during this trying time and rather than sit there and wait for someone to help i decided to start this charity drive to earn a little of money to give to the stockport foodbank charity, they currently have 7 locations in stockport and help all people who are in need of extra, not just during this trying time but always. Rain or shine the people are there to help"
"Darlington Lib Dems helping Kings Centre Foodbank","Darlington, North East England, United Kingdom",https://www.gofundme.com/f/darlington-lib-dems-supporting-kings-centre,950,1500,2020-05-16T16:04:41.0000000-05:00,05/16/2020,"Kings Church Darlington","Registered nonprofitDonations eligible for Gift Aid.",11,"Do you want to join us in making a difference? Darlington Liberal Democrat Vicky Atkinson has set out raising money in aid of the foodbank ran by King's Church Darlington and every donation will help. 

King's Church is passionate about working in and for the community. They have a foodbank on site that gave out 75,000 meals last year, and given this year's Covid crisis, this is set to increase. 

Vicky Atkinson has arranged for the Liberal Democrats in Darlington and Sedgefield to donate to this amazing cause. Over the past few months we've not been able to leaflet, and canvas support in the same ways as before, as we along with the rest of the country have been obeying social distancing. Instead we have been getting even more involved in community projects around the town. Vicky Atkinson has been coordinating volunteers with Darlington Coronavirus Support, and has seen first hand struggles the people of this town are having during this time, and as a result, the increased pressure on foodbanks. So it makes perfect sense that the money we've not spent on leaflets, that we donate to those foodbanks, allowing us to further take care of those in our community who need the most support. 

Darlington Lib Dems have started the pot with £750, roughly the amount we would have spent on leaflets during this time and are now asking for your support to add to this amazing cause! 

Now that the guidelines on social distancing have altered, this allows us the ability to do even more to help, whilst remaining safe. So over the coming weeks we will be doing various activities to help our community. 

Starting this Saturday when Vicky Atkinson will be meeting her one person from another household, fellow Lib Dem Karen Chapman, on a litter pick around the Hummersknott area.

We'd love it if you could support us, to support Kings Centre Foodbank and donate via our Go Fund Me page. 

Thank you all in advance and stay safe."
"Food Parcels Foodbank","Caversham, South East England, United Kingdom",https://www.gofundme.com/f/food-parcels-foodbank,550,1000,2020-05-14T17:36:30.0000000-05:00,05/14/2020,"FOOD PARCELS","Registered nonprofitDonations eligible for Gift Aid.",12,"During these difficult times, we have a lot of families that are struggling in our community. We are raising funds to deliver essential food weekly to needy familes in our area. The families are identified as in need by the local authorities and not biased by their race, religion or background."
"To support children and families this Lock Down","Everton, North West England, United Kingdom",https://www.gofundme.com/f/to-purchase-a-log-cabin-to-use-as-a-food-bank-shop,7925,14000,2020-05-08T19:32:13.0000000-05:00,03/04/2019,"Liverpool Six Community Association","Registered nonprofitDonations eligible for Gift Aid.",154,"Do you want to join me in making a difference? I'm raising money for Liverpool Six Community Association and any donation will help make an impact. Thank you in advance for your contribution to this cause that means so much to me.

More information about Liverpool Six Community Association: At our Community Centre we provide advice services, lunch clubs, youth clubs, a foodbank, tea dances, short breaks away for the elderly and children. The children we work with come to the L6 Centre very distressed and hungry. We run a youth club for these disadvantaged children of our community and provide them with a hot meal 3 times a week. We work closely with the local schools and the teachers who refer vulnerable children and families. We also ensure we support families who are deprived at Christmas, Easter and throughout year"
"The Virtual G (Food Bank Fundraiser)","Lochgoilhead, Scotland, United Kingdom",https://www.gofundme.com/f/lockdown-live-raising-money-for-foodbanks,1040,1000,2020-05-12T11:41:02.0000000-05:00,03/31/2020,"The Trussell Trust","Registered nonprofitDonations eligible for Gift Aid.",65,"Gig in the Goil has announced full details of ‘The Virtual G’ – its first ever online event.

A host of fantastic acts will perform from midday until midnight on the Gig in the Goil Facebook page, across the weekend, with ‘backstage footage’, highlights, interviews, and cocktail recipes on our Twitter & Instagram.

Our aims:

1) To showcase some of the best upcoming acts in the country

2) To continue raising spirits across social media

3) To raise money for a worthy cause – The Trussell Trust – Who support a network of food banks throughout the UK

More information about The Trussell Trust: The Trussell Trust, in conjunction with local communities, develops and runs sustainable projects in the UK tackling poverty and exclusion, operating more than two thirds of UK foodbanks. Through the UK Foodbank Network and Community Enterprises we work with marginalised people in real need, providing practical care and support. www.trusselltrust.org."
"Emergency Appeal for FoodBanks in Stockton-on-Tees","Stockton-on-Tees, North East England, United Kingdom",https://www.gofundme.com/f/1y7oboej9c,5028,1000,2020-05-12T09:27:43.0000000-05:00,03/25/2020,"CATALYST STOCKTON ON TEES LIMITED","Registered nonprofitDonations eligible for Gift Aid.",138,"The COVID Community Support Team has set up a GoFundMe page to support the Food Banks across Stockton-on-Tees during the Coronavirus pandemic.

Food Banks in the Borough are experiencing a significant shortage of supplies due to the extent of the Coronavirus pandemic, and are struggling to support those most in need.

This is why we are asking for your help. All money donated to this page will be used to buy provisions for those most vulnerable in our communities.

Catalyst has created the COVID Community Support Team with support from Stockton-on-Tees Borough Council. It provides help during these uncertain times ranging from doing food shopping or picking up prescriptions, to making sure people who are self-isolating and feeling lonely or worries get the support they need.

Every donation no matter how small will help and is greatly appreciated."
"Save Hugamug Foodbank","Liverpool, North West England, United Kingdom",https://www.gofundme.com/f/save-hugamug-foodbank,2814,2000,2020-05-10T03:21:37.0000000-05:00,04/21/2020,,,113,"Hugamug Cafe is a small, independent business based in Gateacre, South Liverpool. As per the Government guidelines regarding the COVID-19 pandemic, they have recently had to close their doors, and has repurposed into a Foodbank in order to ensure that the most vulnerable and at risk members of our community are cared for and looked after.

Working alongside MSB Woolton FC, Hugamug have been working tirelessly in order to provide food parcels, medical supplies and other essentials to hundreds of families across the area during a time of unprecedented difficulty for many.

Unfortunately, due to an administration error, Hugamug has been unable to secure the Governement funded grant which would be needed to allow them to remain functional. Whilst it is hoped that the issue with the Government grand should be rectified soon, it leaves Hugamug in the disastrous situation of being unable to pay their rent for the next month - Something which would in turn leave hundreds of at risk, vulnerable families in our community helpless.

So now we are asking you whether it would be possible for you to donate as much or as little as you could afford in order to help Hugamug continue to do their selfless work. 

Please donate what you can to this fantastic cause and lets help them to help the city of Liverpool."
"Ilkley Food Bank","Ilkley, Yorkshire and the Humber, United Kingdom",https://www.gofundme.com/f/ilkley-food-bank,7329,5000,2020-05-16T04:22:30.0000000-05:00,04/01/2020,,,137,"Ilkley Food Bank is sponsored by Churches Together in Ilkley. The Food Bank provides a vital service to the local population and the wider Bradford area. The restrictions we are all experiencing make it harder for people to donate actual food, but we want to give people the opportunity to give cash instead.

Although the fund-raising page says donations will go straight to Michael Faulkner, who is secretary of Churches Together in Ilkley, in fact of course money will go directly to the Foodbank ."
"St Edmunds Foodbank","Weymouth, South West England, United Kingdom",https://www.gofundme.com/f/st-edmunds-foodbank,1733,1000,2020-05-15T05:57:58.0000000-05:00,03/31/2020,,,55,"A new emergency food distribution service is being set up in March 2020 to help those in the most need during the COVID-19 crisis.

The project is being run out of St Edmund’s church hall on Lanehouse Rocks Road in Weymouth. Donations of non-perishable food items and household items are welcome between 10:30am and 12:30pm on a Tuesday.

However, because of current restrictions on people moving from place to place, we're also launching a crowdfunding campaign to allow us to buy additional essential food and non-food items on your behalf.

Your donation is really important to someone who is in desperate need of emergency food during this unprecedented crisis. Your help is really appreciated."
"Raise money for Caithness Foodbank","Wick, Scotland, United Kingdom",https://www.gofundme.com/f/food-bank-amp-small-businesses-fund,440,200,2020-05-14T12:24:29.0000000-05:00,04/30/2020,,,31,"I have decided to challenge myself by cycling the equivalent of NC500 (North Coast 500) during the whole month of May to raise money for our community. NC500 is a route in the Scottish Highlands covering the West and East Coast. I will be managing the equivalent by cycling a certain distance per day throughout Caithness. I will be using the app “MapMyRun” (can change to cycling) to measure the distance each day up until 516 miles is complete! The proceeds will go towards our local food bank of which is busier than ever during this pandemic (big thank you to Pat & Grant Ramsay, and their volunteers). These guys help people with emergency food supplies and aid them to getting back on their feet - and I’m sure at a time like this there will be a fewof us struggling! Any other monies raised I will put towards the retail services in Wick and small businesses - as they are the ones keeping their doors open allowing us to get our basic needs. Our NHS and carers are all doing a fantastic job, as are the retail and community members, etc etc! So a huge thank you to every key worker in Caithness. "
"Romney Marsh Morris for Shepway Food Bank at Xmas","Ashford, South East England, United Kingdom",https://www.gofundme.com/f/romney-marsh-morris-for-shepway-food-bank-at-xmas,462,360,2019-12-15T09:40:24.0000000-06:00,12/05/2019,,,16,"This year the Romney Marsh Morris have been collecting money for their chosen annual charity - The Shepway Food Bank. We are £364 away from raising £1000 to support the local community foodbank which is straining under the pressure of more and more users. We will be making donations rather than sending Christmas cards to eachother. Will you do something for your community this Christmas?"
"Fund Bradford Central Foodbank Covid response","Shipley, Yorkshire and the Humber, United Kingdom",https://www.gofundme.com/f/fund-bradford-central-foodbank-covid-response,4250,5000,2020-05-05T13:28:28.0000000-05:00,03/20/2020,"THE LIGHT CHURCH BRADFORD TRUST","Registered nonprofitDonations eligible for Gift Aid.",88,"At this time of national crisis, Foodbanks act like a 4th emergency service. We are an essential community service and we will do everything we can to make sure the hungry and vulnerable are fed at this time of crisis. We expect the need to massively increase as the economic crunch hits and we will do everything we can to stay open and meet the demand and to provide a new delivery service for those who are self isolating. We need you to join us to make this a reality. We need your support to buy emergency food provisions and run the operations during this time of crisis. Yes we will need volunteers, yes we will need food, though understand it's hard to buy extra right now. But we definitely need your generous financial donations. I know Bradfordians will rise to the challenge of loving our neighbours as we are such a generous city."
"Nexus Studios: Supporting Hackney Foodbank","Nexus Productions Ltd, Greater London, United Kingdom",https://www.gofundme.com/f/nexus-studios-hackney-foodbank,1140,1000,2020-04-27T05:48:36.0000000-05:00,04/03/2020,"THE HACKNEY FOODBANK","Registered nonprofitDonations eligible for Gift Aid.",61,"We believe as a company that now more than ever, Foodbanks need our help and support through these difficult times. 

With an increase in the number of people out of jobs due to COVID-19, there has been a higher demand and pressure put on food banks to supply to the vulnerable, elderly and poor families. 

Emma Revie, the chief executive of the Trussell Trust, the UK’s largest network of foodbanks said “It’s really concerning...We are anticipating a significant increase in users as more people are unable to work.”

Based in Shoreditch London, we will be supporting our local Hackney Foodbank. At this time, we also incentivise anyone willing to do more for their communities and help people in this pandemic. 

Check out other notable fundraisers below

Donate a ride for the NHS (Addison Lee) 
https://www.gofundme.com/f/donate-a-ride-for-the-nhs

Frontline Medical Support to NHS
https://www.gofundme.com/f/frontline-medical-support

Helping hands (Beauty Banks) 
https://www.gofundme.com/f/helpinghands-for-covid19


Thank you for your generosity. 

Stay safe, 
Nexus Studios"
"Dorothys FoodBank Marathon","Uttoxeter, West Midlands, United Kingdom",https://www.gofundme.com/f/dorothys-foodbank-marathon,2288,2000,2020-05-07T09:02:43.0000000-05:00,04/24/2020,,,95,"The FoodBank is in need of more food to distribute to the vulnerable of Uttoxeter. I should be running the London marathon this Sunday, as it is postponed I will be running the 26.2 miles around the main hall at Renew Church instead. Please help me raise some much needed funds."
"Bradford NHS and Bradford foodbank","Menston, Yorkshire and the Humber, United Kingdom",https://www.gofundme.com/f/bradford-nhs-and-bradford-foodbank,6665,5000,2020-05-02T04:10:13.0000000-05:00,04/16/2020,,,315,"Hi I’m raising money by donating my Chelsea Cesc Fabregas and my own Bradford jersey from the FA cup shock when Bradford beat Chelsea at Stamford Bridge on 24/01/15. I have been keeping these two jerseys to one day get framed and put them up on my wall. They mean a lot to me as anyone who knows football will know the magnitude of “that” game. During lockdown I made a decision to put them to a good cause and raise money for people who really need it most. I will always have the memories and with help from everyone we can hopefully raise a nice amount. Please donate or purchase a ticket. We can all play a little part so all donations are welcome but to enter its £15 for one ticket. No limit on tickets purchased. 

Stay safe and healthy

Thank you

Billy xxx"
"STOCKS ARE RUNNING LOW - HELP THE FOODBANK","Ballycastle, Northern Ireland, United Kingdom",https://www.gofundme.com/f/pp6fue-help-foodbanks-feed-people-during-coronavirus,3555,5000,2020-04-27T00:46:19.0000000-05:00,03/26/2020,,,81,"As the situation unfolds in relation to COVID-19 we are raising vital funds so that Ballycastle Foodbank can respond to increasing demand. We are facing an unprecedented challenge and so any donation will be warmly welcomed as we continue to support those people most in need. Many of the primary locations used to donate food to are now closed, there are little or no opportunities to give food directly to the Foodbank BUT they still need stock. 

As the impact of coronavirus takes hold, and the knock on effect of unpaid work, unfulfilled contracts, zero hours workers getting literally zero hours, new universal credit claims, currently a six week delay, who knows how much longer it will be with so many new claims to process?. More and more people are going to find themselves at the door of the food bank, only to find that their shelves are empty too.

We don't know how COVID-19 is going to end up. We have no idea of the impact on our economy, society, communities. But poverty is already isolating, lonely, and exhausting. If we all turn inwards and only look after ourselves, more and more people are going to slip through the cracks.

All the money raised here does directly to Ballycastle Foodbank who will use it to support people in need and at risk of food insecurity and hunger.

If you can't afford to donate - sharing it on social media is free. 

Thank you for your support."
"Donations for Hope Agency School/Foodbank","Saint Leonards-on-Sea, South East England, United Kingdom",https://www.gofundme.com/f/donations-for-hope-agency-schoolfoodbank,365,150,2019-07-19T08:58:09.0000000-05:00,07/03/2019,,,16,"As some of you might know, I’m currently volunteering in Cambodia at Hope Agency Before coming out here, my biggest worry was that it wasn’t going to be sustainable and I was going to accidentally end up being a dreaded “white saviour”, but I couldn’t have been proved more wrong. The work this school is doing is phenomenal and I feel so privileged to be able to experience this, and I am already looking forward to the next 2 and a half weeks to come!

The object of the project is to teach English to the children in the village, so they have better job prospects than just rice farming, sweatshop work or prostitution. They also run a food bank project, helping some of the poorest families to become self sustainable and giving them food packages that they wouldn’t otherwise be able to afford.

The last few weeks teaching has been a real eye opener, and one of my highlights so far has been teaching my pre intermediate class all about women’s rights and gender inequality, they are so willing to learn it’s infectious.

I am asking for donations to be able to treat our children on Fun Friday, as lots of them have extremely hard lives and so this fortnightly treat is something they really look forward to! Any remaining money left over from fun Friday will go straight to the food bank project. 

Many thanks"
"Penryn and Falmouth Foodbank","Penryn, South West England, United Kingdom",https://www.gofundme.com/f/penryn-and-falmouth-foodbank,7909,100,2020-05-16T18:07:37.0000000-05:00,05/03/2019,"HIGHWAY CHURCH","Registered nonprofitDonations eligible for Gift Aid.",114,"Want to join me in making a difference? I'm raising money to benefit Penryn and Falmouth Foodbank, and any donation will help make an impact. Thanks in advance for your contribution to this cause that means so much to me."
"A vehicle for West Belfast Foodbank","Belfast, Northern Ireland, United Kingdom",https://www.gofundme.com/f/a-vehicle-for-west-belfast-foodbank,1391,3500,2020-04-02T10:34:24.0000000-05:00,12/30/2019,,,32,"Last year West Belfast Foodbank fed 686 families & 1,600 individuals. This Christmas alone we helped 130 families with our toy appeal & hampers, on Christmas Eve in 3 hours we gave out fresh food donated by Hendersons in the SCA building to 70 families.
We can do much more if we had a suitable vehicle. Any donation large or small will help. As our project is a registered charity in Northern Ireland donations from companies can be claimed back through HMRC.
Funds will buy a vehicle for the Foodbank. 
We appreciate the support all year round from individuals, schools, youth clubs, sports teams & companies. Please get behind our appeal support us helping local families across all communities in crisis.

https://www.facebook.com/West-Belfast-Foodbank-Fundraising-1449526961742162/"
"Oldham foodbank break in","Oldham, North West England, United Kingdom",https://www.gofundme.com/f/oldham-foodbank-break-in,7110,1000,2019-01-18T01:49:59.0000000-06:00,01/08/2019,,,288,"Hi I'm one of the volunteers at Oldham Foodbank, as you maybe aware we was broken in to over the weekend and the devastation was found by one of charity partners. 
The individual /individuals have taken tablets that were used for referrals to the fuel bank to enable those in crisis to receive an emergency payment and for a nationwide surveys into foodbank from Edinburgh university. They have taken our main hard drive /pc all are password protected . They have obviously ransacked the office and damaged our filing cabinets. Along side the items we need to replace , they have taken around £200 that was donated over the Christmas period which obviously provides much needed funds for the day to day running of the foodbank. Food was taken too, so we are putting an appeal out for tinned fish, rice pudding, tinned fish , tinned tomatoes and uht milk. 
We as a charity can little afford the extra costs incurred to replace the more valuable items and office furniture. Any donations will be greatly received and used to help to wider community .


As stated our original target was £1000 and we have blown away by the generosity of the wider public. I am one of the merry band of volunteers at Oldham Foodbank. We offer assistance to those in crisis with food parcels for 3 days . As we have smashed our target , extra money raised will be used to enhance our current security systems to prevent ourselves from being targeted again . Furthermore the money raised will secure day to day expenses of the Foodbank for the foreseeable future , enabling us to continue to provide to those in need and crisis. 
All monies raised is to be transferred to Oldham Foodbank bank account which is run by our Trustees. 

Update on 17/5/19 

We are in the process of withdrawing funds , The funds will be withdrawn via the manager of the Foodbank and promptly transferred to the Oldham Foodbank account which the Trustees will be able to allocate funds as we require them . 
Once again Thank you , a photo showing the transfer and statement will be placed via this page for transparency. 

"
"Raising funds for Cowdenbeath foodbank","Cowdenbeath, Scotland, United Kingdom",https://www.gofundme.com/f/raising-funds-for-cowdenbeath-foodbank,300,200,2020-05-09T12:05:28.0000000-05:00,04/11/2020,,,19,"We have been walking around Cowdenbeath dressed as dinosaurs to cheer the kids up who are stuck inside and we will continue doing this until we are all able to go back to our normal lives, we didn't want anything in return however some people have requested making a small donation so we have set this page up and any donations raised are going to Cowdenbeath foodbank to help families who are struggling at this difficult time, I know many people have lost jobs or are having to take unpaid leave and we want to help as much as possible."
"Suffering for the Foodbank","Dunfermline, Scotland, United Kingdom",https://www.gofundme.com/f/suffering-for-the-foodbank,1377,500,2020-05-11T02:18:48.0000000-05:00,04/27/2020,,,74,"Covid -19 is an unprecedented challenge for us all. Personllay I feel ensuring that foodbanks have adequate food to help the most vulnerable in our community is a priority. 

There are 5 foodbanks in my local area which last year issued 64.1 tonnes of food, the equivalent of 128,000 packs of 500g bags of pasta. They feed 7,669 clients of which 3,065 are children.

My Challenge:
I am a keen cyclist and due to Covid-19 outbreak my usual social and competitive cycles have been impacted. So to keep motivated I am going to attempt to complete 10 back to back training sessions all from my virtual trainer.

To complete the training sessions I will use a virtual app called Sufferfest , which as the name suggests is a festival of suffering. On a normal day one session is tough so completing 10 back to back will be challenging.

To help me get through the agony and anguish (and saddle sores) I would greatly appreciate any donation you can make towards the foodbank so they can continue their fantastic work in our community.

Link for more information relating to Dunfermline foodbank https://dunfermline.foodbank.org.uk/about/"
"One For The Road Foodbank Fundraiser","Selby, Yorkshire and the Humber, United Kingdom",https://www.gofundme.com/f/one-for-the-road-foodbank-fundraiser,964,500,2020-05-10T12:13:23.0000000-05:00,03/26/2020,"SELBY & DISTRICT FOODBANK","Registered nonprofitDonations eligible for Gift Aid.",93,"We're using these online gigs to raise some funds for Selby & District Foodbank. Times are tough, and people need help now more than ever. Since people can hardly get what they need themselves from the supermarket at the minute, donations are pretty low. 

If you've watched one of the shows, please, if you can, chuck in a little donation. Even if it's just the price of a tin of beans. It'll all help."
"Help sustain the foodbank","Blackburn, North West England, United Kingdom",https://www.gofundme.com/f/help-sustain-the-foodbank,801,500,2020-04-07T15:59:55.0000000-05:00,03/24/2020,"Al-Imdaad Foundation (UK)","Registered nonprofitDonations eligible for Gift Aid.",35,"
With the current Covid-19 pandemic, there are so many people out there who are struggling for basic food. If we thought food poverty existed before, it has become a million times worse. I don't feel comfortable sitting back, when there are people in dire circumstances. We maybe in lockdown but let’s try and do our best to support our local food bank who requires our help to provide for the needy in the community. They are there for all, despite of faith, colour or background. The Food for thought project who are a part of Al-imdaad foundation and Blackburn rovers have teamed up to help support the food bank. 

Please can you help me raise a minimum of £500 which will help fund the project and get essential food for those who need it. 

Nafl Sadaqah and Lillah only please. 

Do you want to join me in making a difference? I'm raising money in aid of Al-Imdaad Foundation (UK) and every donation will help. Thank you in advance for your contribution to this cause that means so much to me.

More information about Al-Imdaad Foundation (UK): The Al-Imdaad Foundation is a registered UK charity providing humanitarian aid relief with registered offices in Indonesia Jordan and the head office in South Africa. We are dedicated to providing humanitarian services in crisis and non-crisis situations to most needy orphans, widows and destitute, irrespective of race, religion, culture and geographical boundaries."
"Head shave for Harlow Foodbank!","Harlow, East of England, United Kingdom",https://www.gofundme.com/f/3d9vjv-head-shave-for-the-nhs,265,500,2020-04-21T06:25:55.0000000-05:00,04/16/2020,,,19,"Well.... I’ve done it I’ve shaved my hair off ! So please, if you are able to donate to my GoFundMe, I know that the Harlow Foodbank will be very grateful of any money you can spare at this time of increased demand and decreased donations due to the current circumstances. 
Do you want to join me in making a difference? I'm raising money in aid of The Trussell Trust and every donation will help. Thank you in advance for your contribution to this cause that means so much to me.

More information about The Trussell Trust: The Trussell Trust, in conjunction with local communities, develops and runs sustainable projects in the UK tackling poverty and exclusion. Through the UK Foodbank Network and Community Enterprises we work with marginalised people in real need, providing practical care and support. www.trusselltrust.org. "
"Square Mile Food Bank","London, Greater London, United Kingdom",https://www.gofundme.com/f/square-mile-food-bank,1205,4000,2020-05-04T05:55:14.0000000-05:00,04/04/2020,,,25,"The Square Mile Food Bank has been set up with the support of Age UK London to assist residents in the City of London who are in need of essential food and provisions. The food bank is available to all local residents, regardless of age. 

During the current Covid-19 pandemic, some food banks have closed and others are operating at reduced capacity. Many elderly and vulnerable residents are unable to rely upon their usual channels of support and many in the community have been affected financially due to the crisis and are unable to meet their basic daily needs. The Square Mile Food Bank is therefore a critical resource to ensure that those most in need can be provided with urgent, nutritious food supplies.

The food bank is volunteer led and relies solely on donations from members of the community, companies and other grant giving bodies. Any donation, large or small, will make a huge difference to ensure that we are able to reach as many people as need the service.

You can follow the activities of the SMFB on twitter at @SqMile_FoodBank."
"SMOOVE & TURRELL’S CHRISTMAS FOODBANK COLLECTION","Gateshead, North East England, United Kingdom",https://www.gofundme.com/f/smoove-amp-turrells-christmas-foodbank-collection,724,1000,2020-01-13T04:03:26.0000000-06:00,12/18/2019,"GATESHEAD FOODBANK","Registered nonprofitDonations eligible for Gift Aid.",26,"We hope you’re enjoying the live stream. We are raising money for GATESHEAD FOODBANK and every donation will help. Its going to be a tough few years for everyone so let’s help those out that are most in need! Xxxx"
"SWAN FOODBANK at SLIC","London, Greater London, United Kingdom",https://www.gofundme.com/f/r2a2vns,2535,5000,2018-06-09T15:48:41.0000000-05:00,04/06/2015,,,53,"
SWAN RAMADAN APPEAL* 

 *Ibn Abbas reported: The Prophet, peace and blessings be upon him, said, “He is not a believer whose stomach is filled while the neighbor to his side goes hungry.”(al-Sunan al-Kubrá 19049)*

 WE NEED YOUR SUPPORT

With Allah's blessings and because of the dedication and commintment of our volunteers and supporters the foodbank at Streatham Masjid that SWAN run, will be in operation for the 6th year this Ramadan. Our database has grown to 600 families who can collect a food parcel every month. We also regularly support an emergency housing centre that houses up to 1000 people and drop off food parcels to individuals and families in need in the community.

 *The foodbank runs EVERY Tuesday morning between 10 - 12am and donations are most welcome then.* 

During Ramadan *ONLY* DONATIONS CAN BE LEFT AT STREATHAM MASJID EVERY MORNING - Please call our contact numbers for more information. 

A Ramadan food parcel costs £25 and includes:

5kg Rice 
Large oil 3 or 5 ltr 
1kg pasta
1kg sugar 
160 teas bags 
Large jar of coffee
Salt
Tins x 6 - baked beans, tomato, chick peas, sweet corn, kidney beans, sardines, tuna
Biscuits x 2
Dilute juice
Long life juice
Honey
Long life milk 
Cereal 
Porridge
Dates

How you can supports us: 

*There are many offers on at supermarkets on many of the items listed above. Please remember the poor families and individuals who rely on the foodbank when you do your Ramadan shopping and make use of the buy one get one free or other special offers. 

* Donate directly to our account - Reference PARCEL

We will also be hosting an iftar for families in the emergency housing centre on SUNDAY 20TH MAY. We will provide a cooked meal with desert and dates. We estimate the cost will be £6 per head. Please donate and show those less fortunate than us we care. Please donate to our account and reference IFTAR

BANK DETAILS
SWAN
Acc No: 14552383
Sort Code: 23-05-80

Please email swanfoodbank@gmail.com for more information.
Thank You 
THE SWAN TEAM

https://www.facebook.com/SWANSouthernWomensAidNetwork/ ‌"
"Wadebridge Foodbank","Wadebridge, South West England, United Kingdom",https://www.gofundme.com/f/wadebridge-foodbank,9548,5000,2020-04-14T11:57:16.0000000-05:00,03/20/2020,"WADEBRIDGE FOODBANK AND STOREHOUSE","Registered nonprofitDonations eligible for Gift Aid.",56,"Amidst The Outbreak of COVID-19 Wadebridge foodbank is asking for any help in providing money for Baby Food and Sanitary Products - There are people who are suffering without the ability to easily purchase these products from supermarkets, and at the moment, stockpiling is not helping this."
"Fans For Foodbanks COVID-19 Crisis Fund","Wheawill & Sudworth, Yorkshire and the Humber, United Kingdom",https://www.gofundme.com/f/fans-for-foodbanks-covid19-crisis-fund,1160,1000,2020-05-16T15:23:58.0000000-05:00,03/27/2020,"The Welcome Centre","Registered nonprofitDonations eligible for Gift Aid.",36,"
The Welcome Centre is a Huddersfield-based foodbank that provides basic essentials to people in need. Unfortunately, the COVID-19 crisis has seen demand for their services rise and donations fall. To help, Cowshed Loyal and the Huddersfield Town Supporters’ Association (HTSA)—co-founders of the Fans For Foodbanks initiative—have each donated £250 and are encouraging others to donate whatever they can.

All donations, no matter how big or small, or greatly appreciated. Stay safe and keep the faith. "
