Key,Fundraiser,Raised,Charity,Operates,Postcode,Activities,Description,Address,FirstDonation,LastDonation
48,"marcus Petty-saphon",0,"The Felix Project",,,,"The Felix Project collects surplus food from suppliers and delivers it free of charge to charities and schools that provide food to people in need - a wonderfully simply model helping address the twin scandal of food waste and food poverty.
Each year the UK generates 1.9 million tonnes of food waste that could have been eaten, which is worth around £4.6bn, At the same time, 2 million people in the UK cannot afford to eat regularly, and in London 70,000 children go to school hungry each day.
For every £1 donated, the Felix Project saves £4 of food. Our operation is simple, reliable and efficient. We have a small team of staff and over 400 volunteers who drive, walk and cycle to collect food from suppliers and deliver it to around 200 charities and schools.


","Unit 6 Kendal Court Kendal Avenue,  London,  W3 0RU",,
49,"Allison Banks",80,"Care And Relief For The Young.",,,,"Care and Relief for the Young (CRY) believes in a world where all children and young people are able to fulfil their God-given potential.
We work in 28 nations and with 33 partners, to meet the practical needs of the most vulnerableand marginalised children, to help them grow up in safety, and with the support and resources they need to survive and thrive.
We work through church partnerships, training and supporting local leaders who understand thecommunities they work in and are best placed deliver care for children at risk, whether it be because of poverty, oppression or abuse.
Our projects focus on Education, Healthcare & Nutrition, Support Homes, Emotional Support and Community Building.
","Sovereign Place,Upper Northam Road  Hedge End,Hampshire  SO30 4BZ",28/04/2020,01/05/2020
50,"Andrew Banks",0,"The Royal British Legion","Throughout England And Wales",,"To promote the furtherance of religious or secular education; the advancement of the tenets of the Christian faith; the relief of the poor and needy and the help and comfort of the sick and aged.","The Royal British Legion is the UK's leading Armed Forces charity. The Legion provides life-long help, advice and support to members of the Armed Forces, veterans of all ages and their families.
The Legion also campaigns to improve the lives of the Armed Forces community, safeguards the Military Covenant between the nation and its Armed Forces, organises the Poppy Appeal, runs one of the UK's largest membership organisations and is the nation's custodian of Remembrance.
What we do
The Legion is a big family - all supporting the Armed Forces community.
Whether it's helping families cope with the loss of a loved one, providing help at home to adapt to independent living, supporting recovery centres for injured personnel, providing money and careers advice or residential care: we are here to help.

The Poppy Appeal
Each year the nation expresses its unequivocal support for our work through its generous support of the Poppy Appeal. We spend £1.7million a week on welfare activities for the Armed Forces community.
Remembrance
The Legion is the nation’s custodian of Remembrance, ensuring that people remember those who have given their lives for the freedom we enjoy. We are responsible for the Two Minute Silence on Remembrance Sunday and 11 November. We also organise the annual Festival of Remembrance at the Royal Albert Hall, and assist with the march past at the Cenotaph on Remembrance Sunday.","The Royal British Legion,199 Borough High Street  London,  SE1 1AA",,
51,"Angela Banks",5,"Macmillan Cancer Support","Throughout England And Wales, Northern Ireland, Scotland","RG2 6GF","Principally donations are given to charities in line with current themes of Youth, Technology and Education and care for permanent or terminal conditions operating on a national basis. However from time to time The Trustees use their discretion to meet requests from other causes as they determine appropriate.","Our Macmillan nurses, doctors and other health professionals up and down the country will continue to support people living with cancer whilst doing all they can to help alleviate the immense strain put on the NHS by Coronavirus. 
For people living with cancer during the coronavirus pandemic, it is a particularly anxious time. More people than ever need our support with a variety of issues, such as clinical advice on cancer treatments and how to reduce the risk of contracting Coronavirus when chemotherapy and other cancer treatments can dramatically lower people’s immunity.  
We are committed to making sure our vital support services continue to be available for much needed clinical advice and emotional support during this difficult time. Anyone worried about the impact of Coronavirus on their treatment and care can contact the Macmillan Support Line on 0808 808 00 00 or visit www.macmillan.org.uk for further advice and support. 
Our clinical, community and online information services are urgently needed now more than ever and we need your support to meet growing demand. Donate today to help make sure we can keep delivering this critical support in the weeks and months to come. ","Macmillan Cancer Support,87-90 Albert Embankment  London,  SE1 7UQ",18/05/2020,18/05/2020
52,"Ant Banks",0,"NHS Charities Together",Cambridgeshire,"PE13 1JE","The Trust owns and maintains Octavia Hill's Birthplace House in Wisbech, Cambridgeshire, a Grade II* Listed Georgian Building which contains exhibits, displays and archives of the life and work of Octavia Hill (1838 - 1912).
Within the Birthplace House there are two cottages containing three Incubator Office Units, a Tearoom, and Shop which are leased to and operated by Octavia Hill Trading Ltd.","
NHS Charities are the offical way that the NHS raises, holds and spends charitable funds. There are 230 NHS charities in the country.
NHS Charities Together (aka the Association of NHS Charities) is the umbrella organisation for the NHS' offical charities in the UK.
Endorsed by the Department of Health and Social Care, and NHS England, NHS Charities Together provides support and grants only to these NHS' official charities.
 NHS charities provide extra vital funds and services to NHS hospitals, ambulances, mental and community health trusts and health boards. This funding is above and beyond what the government provides and is spent on enhancing care and experience of patients.
www.nhscharitiestogether.co.uk ","Association Of Nhs Charities,Suite 68  Lake View House,Wilton Drive  CV34 6RG",,
53,"Bank of England Walkers",0,"London Legal Support Trust",,,,"The Trust is a funding charity that supports specialist social welfare legal advice services in London and the South East","48-49 Chancery Lane,  London,  WC2A 1JF",,
54,"Banking On Barnardo's",26805,Barnardo's,"Oxfordshire, West Berkshire","RG8 9ES","A. To promote the benefit of the inhabitants of Goring and district without distinction of sex or of political, religious or other opinions, with the object of improving the conditions of life for the inhabitants. B. To establish or to secure the establishment of a community centre.","As one of the UKs leading childrens charities, Barnardos works directly with almost 300,000 children, young people and their families every year. We run over 1,000 vital projects across the UK, including counselling for children who have been abused, fostering and adoption services, vocational training and disability inclusion groups.
Every Barnardos project is different but each believes in the potential in every child and young person, no matter who they are, what they have done or what they have been through. Whatever the issue from drug misuse to disability; youth crime to mental health; sexual abuse to domestic violence; poverty to homelessness; Barnardo’s believes we can bring out the best in every child.","Head Office Tanners Lane,Barkingside  Ilford,  IG6 1QG",22/04/2020,28/05/2020
55,"Banks Kelly Solicitors",0,"London Legal Support Trust",,,,"The Trust is a funding charity that supports specialist social welfare legal advice services in London and the South East","48-49 Chancery Lane,  London,  WC2A 1JF",,
56,"Barebells Functional Foods",158.6,"Age UK",Nepal,"N5 2JZ","Relief of poverty and sickness in Nepal
Protection of the environment ,particularly the National Parks in Nepal","Age UK is the national charity dedicated to helping everyone make the most of later life. Ageing is not an illness, but it can be challenging. We help more than 7 million people every year, providing companionship, advice and support for older people who need it most. 

Age UK will campaign. We will fundraise. We will research. We will make the powers that be listen. 

Age UK is for all of us, because age is a part of life.
To make your page for any Age UK event please click on the button below.
","Tavis House 1-6 Tavistock Square,  London,  WC1H 9NA",26/04/2020,01/05/2020
57,"Ben Banks",0,Mind,,,,"We’re Mind, the mental health charity. We believe no one should have to face a mental health problem alone. We’re here for you. Today. Now. Whether you’re stressed, depressed or in crisis. We’ll listen, give support and advice, and fight your corner.
Thank you so much for raising money for Mind. Our work relies on people like you. People who give their time, money, energy and passion to make sure Mind can be there for everyone who needs us.
Every penny you raise will help to make sure people with a mental health problem have somewhere to turn. This could be someone dealing with anxiety, depression or bipolar finding the information and support they’ve been looking for by calling our infoline.
Whether you're planning to support us through a run, cycle, trek, swim, triathlon, another event or your own fundraising activity - we’re on hand to help you and give you all the support you need. You’re doing something really good. And we want that to feel great. 

Thank you for your kind and generous support.



","Mind N A M H,Granta House  15-19 Broadway,London  E15 4BQ",,
58,"Betsy Banks",3110,"Mind BLMK","North Tyneside",,,,"Mind Blmk,The Rufus Centre  Steppingley Road,Flitwick  MK45 1AH",24/04/2020,26/05/2020
59,"Caroline Banks",79,"The Prince's Trust",Hertfordshire,"SG1 3NT","Makes grants for the benefit of St Mary's Church, Walkern","The Prince's Trust helps disadvantaged young people to get their lives on track.  We support 11 to 30 year olds who are unemployed and those struggling at school and at risk of exclusion.  Many of the young people helped by The Trust are in or leaving care, facing issues such as homelessness or mental health problems, or they have been in trouble with the law.
The Trust's programmes give vulnerable young people the practical and financial support needed to stabilise their lives, helping develop self-esteem and skills for work.  Each year The Trust aims to help more than 58,000 young people across the UK.
Three in four young people supported by The Trust move into work, education or training.  The Trust has helped more than 825,000 young people since 1976 and supports over 100 more each day. 
Further information about The Prince's Trust programmes for young people is available at our website at princes-trust.org.uk or on 0800 842 842.","Princes Trust House 6-9 Eldon Street,  London,  EC2M 7LS",05/03/2020,25/03/2020
60,"Charlene Banks",175,"Teenage Cancer Trust",,,,"Young people shouldn’t face cancer alone. We make sure they don’t. 
That means providing treatment and support for young people in one of our comfortable, contemporary specialist cancer wards, or travelling to other hospitals and to young people's homes to make sure we reach everyone who needs us, wherever they live. 
We also spread the word about the impact of cancer on young people. We do presentations in schools, we help medical professionals and politicians to understand why young people with cancer need specific support, and we publish a wide range of information resources.
We make sure that we're there for young people from the moment cancer is diagnosed until long after treatment is over. Our events and support help young people figure out what normal looks like now, whether it's helping young people return to work or school, or giving advice about dealing with long-term side effects. 
Right now, for every young person we reach, there’s another we can’t. We don’t accept that. So we’re expanding our work, but we need your help to get there. We’re determined to reach every young person with cancer in the UK – and to make sure they’re supported by experts in young people’s cancer from the moment they're diagnosed. 
","Teenage Cancer Trust,93 Newman Street  London,  W1T 3EZ",19/05/2020,22/05/2020
61,"Chloe Banks",187.03,"Project Trust","Leeds City","LS19 7UF","Scouting: TO PROMOTE THE DEVELOPMENT OF YOUNG PEOPLE IN ACHIEVING THEIR FULL PHYSICAL, INTELLECTUAL, SOCIAL AND SPIRITUAL POTENTIAL AS INDIVIDUALS, AS RESPONSIBLE CITIZENS AND AS MEMBERS OF THEIR LOCAL, NATIONAL AND INTERNATIONAL COMMUNITIES.","Urgent Appeal 
Coronavirus is having a massive impact on all aspects of our lives - and as a charity, Project Trust is no exception. 
Our first response and priority was to urgently repatriate our 2019/20 Volunteers. This was a major challenge undertaken in unprecedented circumstances, achieved through hard work, collaboration and decisive action.
Now, our priority is to secure Project Trust's future.
The costs of repatriation and some of the extraordinary lengths to which we went to secure the safe return of our young people, combined with uncertainty due to the impact of the Coronavirus, is significantly impacting on our work. 
Project Trust’s future is threatened and we need your help. We are appealing to the whole Project Trust Family for all the support and donations you can give.
Your Best Year 
Project Trust is in it's 53rd year, which in itself is impressive. But our real successes lie in the impact on the overseas Communities in which our Volunteers live and work, the personal development of Volunteers, and the many ways in which Returned Volunteers have then applied their experiences to everyday life.
Society has never needed globally-aware young people with an empathy and understanding for cultures and peoples more than it does right now. Safeguarding Project Trust’s future together will allow future generations of young people to experience unique overseas opportunities we have offered across 67 countries since 1967.
That is why doing Project Trust is an adventure like no other. And that is why we know how much you care about Project Trust and how much you, whether as a Volunteer, Parent or Friend value the experiences on offer. 

With that in mind, please give generously.
Thank you
The Project Trust Team
 
","Hebridean Centre,  Isle of Coll,Argyll and Bute  PA78 6TE",23/09/2019,02/03/2020
62,"Chris Banks",3441.5,"NHS Charities Together",Cambridgeshire,"PE13 1JE","The Trust owns and maintains Octavia Hill's Birthplace House in Wisbech, Cambridgeshire, a Grade II* Listed Georgian Building which contains exhibits, displays and archives of the life and work of Octavia Hill (1838 - 1912).
Within the Birthplace House there are two cottages containing three Incubator Office Units, a Tearoom, and Shop which are leased to and operated by Octavia Hill Trading Ltd.","
NHS Charities are the offical way that the NHS raises, holds and spends charitable funds. There are 230 NHS charities in the country.
NHS Charities Together (aka the Association of NHS Charities) is the umbrella organisation for the NHS' offical charities in the UK.
Endorsed by the Department of Health and Social Care, and NHS England, NHS Charities Together provides support and grants only to these NHS' official charities.
 NHS charities provide extra vital funds and services to NHS hospitals, ambulances, mental and community health trusts and health boards. This funding is above and beyond what the government provides and is spent on enhancing care and experience of patients.
www.nhscharitiestogether.co.uk ","Association Of Nhs Charities,Suite 68  Lake View House,Wilton Drive  CV34 6RG",01/04/2020,20/05/2020
63,"Chris Banks",71,"Versus Arthritis","West Sussex",,"Youth organisation specialising in art, drama and film activities"," Arthritis Research UK and Arthritis Care have merged. We are now Versus Arthritis. 
We’re the carers, researchers, health care professionals, friends and fundraisers, all united in our ambition to ensure that one day, no one will have to live with the pain, fatigue & isolation that arthritis causes. We fund breakthrough treatments, campaign relentlessly for arthritis to be seen as a priority, and support each other whenever we need it.
Find out more at versusarthritis.org. ","Copeman House St. Marys Court St. Mary,  Chesterfield,Derbyshire  S41 7TD",19/04/2020,24/04/2020
64,"Chris Banks",101,"Versus Arthritis","West Sussex",,"Youth organisation specialising in art, drama and film activities"," Arthritis Research UK and Arthritis Care have merged. We are now Versus Arthritis. 
We’re the carers, researchers, health care professionals, friends and fundraisers, all united in our ambition to ensure that one day, no one will have to live with the pain, fatigue & isolation that arthritis causes. We fund breakthrough treatments, campaign relentlessly for arthritis to be seen as a priority, and support each other whenever we need it.
Find out more at versusarthritis.org. ","Copeman House St. Marys Court St. Mary,  Chesterfield,Derbyshire  S41 7TD",19/04/2020,25/04/2020
65,"Craig Banks",530,"Manchester United Foundation",Hampshire,"SO31 6PT","provide accommadation for local voluntary groups and businesses.","Manchester United Foundation uses football to engage and inspire young people to build a better life for themselves and unite the communities in which they live.
 Dedicated staff deliver football coaching, educational programmes and personal development, providing young people with opportunities to change their lives for the better. 


Our objectives are to take Manchester United to the heart of the community and develop young people to achieve their potential. No project has gone further to achieving this than our Partner Schools programme. The project bases full time Community Development Officers in targeted areas to help build relationships with the local community.


We offer a range of educational projects for young people in the local area. From educating youngsters about the inner workings of a football club to improving confidence, life skills and employability, our programmes are innovative and inspiring - everything you would expect from Manchester United.


20,747 Total participants across all schools and projects
2,573 Street Reds participants
46 Volunteers
84 Disability footballers
321 Qualifications
3,580 Children under 12 reached by partner schools
3,889 Move With Manchester United participants
1,578 Girls-only development participants
2,941 hours of volunteering","Sir Matt Busby Way,  Manchester,Greater Manchester  M16 0RA",08/03/2020,13/03/2020
66,"Dads House Raising funds for our foodbanks",30,"London Legal Support Trust",,,,"The Trust is a funding charity that supports specialist social welfare legal advice services in London and the South East","48-49 Chancery Lane,  London,  WC2A 1JF",12/05/2020,12/05/2020
67,"Deutsche Bank",43738.52,"Hospice UK",,,,"Hospice UK is the national charity for hospice care. We champion and support the work of more than 200 member organisations, which provide hospice care across the UK, so that they can deliver the highest quality of care to people with terminal or life limiting conditions, and support their families.
Hospice care is provided free to patients, and with limited government funding, hospices across the country depend on the support of their local communities to help them continue their services.
Hospice UK was previously known as Help the Hospices.  Although we have changed our name, we have not changed our purpose. ","Hospice House,34-44 Britannia Street  London,  WC1X 9JG",03/04/2020,20/05/2020
68,"Deutsche Bank Walkers",0,"London Legal Support Trust",,,,"The Trust is a funding charity that supports specialist social welfare legal advice services in London and the South East","48-49 Chancery Lane,  London,  WC2A 1JF",,
69,"Digital Team at The Co-operative Bank",15,"Down's Syndrome Association",Essex,"CO2 7RN","Recording and preserving the oral history of the Colchester area","We are the only organisation in this country focusing solely on all aspects of living successfully with Down's syndrome.  
Our organisation is divided into various teams, including:
Information - run the helpline; provide people information about all aspects of living with Down's syndrome including specialist advisers on benefits, education, health and social care; advise new parents or anyone with questions; promote an facilitate information exchange between members through various groups; advise on employment for people with Down's syndrome.   

Fundraising - responsible for raising money for the association through events, sponsorship and trusts.

Communications - give key messages to the media, public and professionals; influence policy making; responsible for external publications.

Training - run courses throughout the UK for members, professionals and carers.

Membership - responsible for all administration surrounding new members, existing members and affiliated groups.","Downs Syndrome Association,The Langdon Down Centre  2a Langdon Park,Teddington  TW11 9PS",19/03/2020,21/03/2020
70,"Donna Banks",0,Shelter,,,,"
We work to alleviate the distress caused by homelessness and bad housing by giving advice, information and advocacy to people in housing need, and by campaigning for lasting political change to end the housing crisis for good.

Shelter will help anyone with a housing problem, whether they are a home-owner struggling to pay their mortgage, a tenant in conflict with their landlord or a homeless person looking for a roof over their head. Our housing experts give advice and support by phone or email, or face-to-face at our network of housing aid centres and in county courts and outreach centres.   We also have specialist projects that provide long term support to people who are trying to escape bad housing and homelessness.

Shelter tackles the root causes of bad housing by lobbying government and local authorities for new laws and policies, and more investment, to improve the lives of homeless and badly housed people.  Our influential campaigns bring aspects of bad housing to the attention of the media and the public, who  help us fight for solutions.
 Shelter believes that everybody needs a home in a place they can thrive. Our work won’t stop until there is a home for everyone.","88 Old Street,  London,  EC1V 9HU",,
71,"Edinburgh Food Project",245,"Edinburgh Food Project","Throughout England And Wales, Australia, Canada, Spain, United States",,"Welfare support to ex RAF Cranwell Apprentices","Edinburgh Food Project (EFP) are a local independant charity (SC043220) and are a member of, but are not funded by, the Trussell Trust network. EFP Board of Trustees govern the charity while the work of the charity is overseen by one full-time and three part-time employees, and over 200 dedicated volunteers.  
EFP operates 7 foodbanks in areas of multiple deprivation across Edinburgh, providing emergency food supplies to people in need. Established in 2012, the charity now also works to break the cycle of food poverty through its More Than Food programme.
Each person we help has been referred to us by one of our 230 support agency partners who are looking after the longer-term problems a person may have. People can be referred to us for three food packs in a six-month period.  This is to ensure clients do not become dependent on the foodbank long term.  However, we can provide long term support if there are special circumstances.
Each food pack provides at least three meals for three days, and some snacks. We are also able to offer additional services such as toiletries, household items, pet food, specialist dietary items and kettle packs (for those who do not have access to a cooker/microwave).
In 2018-19, we provided 11,495 parcels to men, women and children. This was a 19.6% increase on the previous year.
We were able to do so by receiving 130,000kg of food from public donations.
Since 2017, we have expanded our focus by developing our foodbank centres in to More Than Food hubs. We conducted community-based research funded by Aspiring Communities Fund to identify the support needs of people, map existing support, and identify key gaps.
Findings from the research have shaped the development and implementation of this programme, which seeks to address the underlying causes of and help break the cycle of food poverty through the provision of appropriate advice and signposting support by partner agencies within our centres. 
Our goal is reduce the number of people who need the foodbank’s support, and ultimately to help reduce food poverty.



","Unit 12 New Lairdship Yards,Broomhouse Road  Edinburgh,Midlothian  EH11 3UY",08/05/2020,22/05/2020
72,"Elizabeth Banks",638.2,"Get Kids Going!","East Sussex, Hampshire, Kent, Surrey, West Sussex","BN27 3AL","Making grants to individuals who are undergoing training at Wonersh Seminary in Surrey.  This is administered on the behalf of the Knights of St Coumba by the Rector of Wonersh Seminary.","Get Kids Going! is a National charity which gives disabled children and young people - up to the age of 26 years - the wonderful opportunity of participating in sport. We provide them with specially built sports wheelchairs so they can do: athletics, marathons, tennis, skiing, rugby, sailing, boccia, basketball, sledge hockey, table tennis, fencing, shooting, archery, powerlifting and many many sports.
Get Kids Going! inspires British disabled youngsters to compete in sporting events, from start to paralympic level, by giving them sports grants to help their; training, physiotherapy, travel, competition fees, design and development of sports wheelchairs etc. With your help many can become world record holders and paralympic champions!

The cost of a bespoke sports wheelchair is about £4000.  A lightweight manual wheelchair is around £2500. An annual sports grant costs on average £2500. All sports wheelchairs are designed individually and perform just like a Formula 1 racing car!
In general there are over 200,000 disabled children and young people in Britain who need the help of Get Kids Going!
 
 ","Flat 4 Chandlery House 40 Gowers Walk,  London,  E1 8BH",18/02/2020,04/04/2020
73,"Emily Arthritis Foodie",120.75,"Versus Arthritis","West Sussex",,"Youth organisation specialising in art, drama and film activities"," Arthritis Research UK and Arthritis Care have merged. We are now Versus Arthritis. 
We’re the carers, researchers, health care professionals, friends and fundraisers, all united in our ambition to ensure that one day, no one will have to live with the pain, fatigue & isolation that arthritis causes. We fund breakthrough treatments, campaign relentlessly for arthritis to be seen as a priority, and support each other whenever we need it.
Find out more at versusarthritis.org. ","Copeman House St. Marys Court St. Mary,  Chesterfield,Derbyshire  S41 7TD",11/05/2020,01/06/2020
74,"Geoff Banks",550.71,"NHS Charities Together",Cambridgeshire,"PE13 1JE","The Trust owns and maintains Octavia Hill's Birthplace House in Wisbech, Cambridgeshire, a Grade II* Listed Georgian Building which contains exhibits, displays and archives of the life and work of Octavia Hill (1838 - 1912).
Within the Birthplace House there are two cottages containing three Incubator Office Units, a Tearoom, and Shop which are leased to and operated by Octavia Hill Trading Ltd.","
NHS Charities are the offical way that the NHS raises, holds and spends charitable funds. There are 230 NHS charities in the country.
NHS Charities Together (aka the Association of NHS Charities) is the umbrella organisation for the NHS' offical charities in the UK.
Endorsed by the Department of Health and Social Care, and NHS England, NHS Charities Together provides support and grants only to these NHS' official charities.
 NHS charities provide extra vital funds and services to NHS hospitals, ambulances, mental and community health trusts and health boards. This funding is above and beyond what the government provides and is spent on enhancing care and experience of patients.
www.nhscharitiestogether.co.uk ","Association Of Nhs Charities,Suite 68  Lake View House,Wilton Drive  CV34 6RG",24/04/2020,04/05/2020
75,"Hannah Banks",2396,"Force Cancer Charity",,,,"
FORCE Cancer Charity is based in Exeter. FORCE (Friends of the Oncology and Radiotherapy Centre, Exeter) believes that anyone affected by cancer deserves the best possible treatment and professional support, close to home and face-to-face.
Since 1987 the charity has been funding local research and buying equipment to improve patient care at the Royal Devon & Exeter Hospital.
In 2004 FORCE opened a Cancer Support and Information Centre in the grounds of the RD&E. The Centre is open every weekday 9:30-4:30 (Wednesdays 6:30), except Bank Holidays, for people needing physical, emotional, psychological and practical support at a difficult time in their lives. The Centre receives around 25,000 visits a year with patients, their families, carers and friends all able to access support. It has a well-stocked library and information nurses are always on hand to help with questions and offer advice. There are counselling services for individuals and within support groups, including for children and young people, plus complementary therapies, exercise guidance, relaxation and mindfulness sessions, a benefits advice service, help to cope with hair loss and a wig fitting service.
FORCE also offers support and information sessions once a week in Okehampton, Tiverton and Honiton. The charity also funds the delivery of chemotherapy in all three towns.

All of FORCE’s services are free of charge.
Since the charity was founded it has spent well over £8million on support, equipment and research. FORCE receives no Government or NHS funding. FORCE needs to raise £1.7million every year to maintain the services it offers. That money comes entirely from voluntary contributions - legacies, donations, the FORCE charity shop and from fundraising events. Fantastic support from the community it serves enables FORCE to fulfil its mission to support anyone locally affected by cancer.
If you would like to learn more about the work of FORCE please call 01392 402875.





","Corner House,Barrack Road  Exeter,  EX2 5DW",06/11/2019,02/02/2020
76,"Jo Banks",0,"Macmillan Cancer Support","Throughout England And Wales, Northern Ireland, Scotland","RG2 6GF","Principally donations are given to charities in line with current themes of Youth, Technology and Education and care for permanent or terminal conditions operating on a national basis. However from time to time The Trustees use their discretion to meet requests from other causes as they determine appropriate.","Our Macmillan nurses, doctors and other health professionals up and down the country will continue to support people living with cancer whilst doing all they can to help alleviate the immense strain put on the NHS by Coronavirus. 
For people living with cancer during the coronavirus pandemic, it is a particularly anxious time. More people than ever need our support with a variety of issues, such as clinical advice on cancer treatments and how to reduce the risk of contracting Coronavirus when chemotherapy and other cancer treatments can dramatically lower people’s immunity.  
We are committed to making sure our vital support services continue to be available for much needed clinical advice and emotional support during this difficult time. Anyone worried about the impact of Coronavirus on their treatment and care can contact the Macmillan Support Line on 0808 808 00 00 or visit www.macmillan.org.uk for further advice and support. 
Our clinical, community and online information services are urgently needed now more than ever and we need your support to meet growing demand. Donate today to help make sure we can keep delivering this critical support in the weeks and months to come. ","Macmillan Cancer Support,87-90 Albert Embankment  London,  SE1 7UQ",,
77,"Joanna Banks",680,"Youth Talk",,,,"When young people in St Albans want to talk about anything that’s troubling them, Youth Talk has the time and space to listen. For over 20 years we’ve been trusted to provide expert help and advice that’s completely confidential, free and available for longer. From family problems to exam stress and peer pressure, body image anxiety to social media bullying, trying to get through modern challenges can be completely overwhelming. It can feel impossible to cope, and some young people can’t.
Our specialist Counselling and Psychotherapy service offers one to one counselling to local young people aged 13-25 who live, work or receive education in the District of St Albans. There is no charge made to the young person. We work on a self referral basis, so promoting personal responsibility. 
We are currently offering 60+ sessions each week and see around 260 young people each year, offering in excess of 2,600 counselling sessions per year.","Lower Ground Floor, Dagnall House,2, Lower Dagnall Street  St Albans,Herts.  AL3 4PA",19/04/2020,29/04/2020
78,"Julie Banks",0,"Macmillan Cancer Support","Throughout England And Wales, Northern Ireland, Scotland","RG2 6GF","Principally donations are given to charities in line with current themes of Youth, Technology and Education and care for permanent or terminal conditions operating on a national basis. However from time to time The Trustees use their discretion to meet requests from other causes as they determine appropriate.","Our Macmillan nurses, doctors and other health professionals up and down the country will continue to support people living with cancer whilst doing all they can to help alleviate the immense strain put on the NHS by Coronavirus. 
For people living with cancer during the coronavirus pandemic, it is a particularly anxious time. More people than ever need our support with a variety of issues, such as clinical advice on cancer treatments and how to reduce the risk of contracting Coronavirus when chemotherapy and other cancer treatments can dramatically lower people’s immunity.  
We are committed to making sure our vital support services continue to be available for much needed clinical advice and emotional support during this difficult time. Anyone worried about the impact of Coronavirus on their treatment and care can contact the Macmillan Support Line on 0808 808 00 00 or visit www.macmillan.org.uk for further advice and support. 
Our clinical, community and online information services are urgently needed now more than ever and we need your support to meet growing demand. Donate today to help make sure we can keep delivering this critical support in the weeks and months to come. ","Macmillan Cancer Support,87-90 Albert Embankment  London,  SE1 7UQ",,
79,"Kara Banks",40,Tommy's,Hampshire,"RG22 4EE","The Basingstoke Talking News produce a 62 minute tape each week of news from the 3 editions of the Basingstoke Gazette. Copies are sent to visually impaired listeners most of whom live locally but some tapes go to Scotland, Devon, Cornwall and other counties of England.","Tommy's funds research into miscarriage, stillbirth and premature birth, and provide pregnancy health information to parents. We believe it is unacceptable that one in four women lose a baby during pregnancy and birth. We want every parent to have the best possible pregnancy outcomes and to take home happy, healthy babies.
We fund four research centres in the UK that investigate causes and find treatments for miscarriage, stillbirth and premature birth.
Our research centres also have clinics where we provide specialised antenatal care for women who are at high risk of having miscarriage, stillbirth and premature birth. They also have an opportunity to be part of our research through taking part in trials for pioneering new treatments.
We are supported by people who want to do something about the lack of research and information around pregnancy issues. By 2030 we want to halve the number of babies who die during pregnancy or birth.","Nicholas House 3 Laurence Pountney Hill,  London,  EC4R 0BB",24/05/2019,12/10/2019
80,"Katerine Banks Blackman",0,"Little Roo Neonatal Fund Ashford and Peters Hospitals Charitable Fund - Child",,,,,"Guildford Road,  Chertsey,Surrey  KT16 0PZ",,
81,"Kelly Geens",2044,"Birmingham St Mary's Hospice","West Sussex","BN17 6NR","The object of the Charity is to help and educate young people through providing the resources necessary to train young people to the standards in water sports as laid down by their National Governing bodies with an overriding emphasis on safety whilst helping them to develop their physical and mental capabilities as individuals and as members of society.","Birmingham St Mary's Hospice provides provides end of life care to you and the people who matter most to you.
Every day, the Hospice supports 400 individuals living with life-limiting illness across Birmingham and Sandwell. It offers a range of services from ‘Hospice at Home’ nursing, symptom management to end of life care as well as family and carer support, making the difficult times that little bit easier to bear.
These services are provided in a number of locations- including at the Hospice, in people’s homes or in the local community - making end of life care more accessible for all. ","Birmingham St Marys Hospice,176 Raddlebarn Road  Birmingham,  B29 7DA",26/09/2017,30/01/2018
82,"Kerry Banks",100,"Inspire Schools","Papua New Guinea","PA31 8JA","Christian Missionary and Rural Business Development.   
Communication and teaching of God's Plan of Redemption and enhancement of local business development based on this.",,"10 Estuary View,  Whitstable,Kent  CT5 3SE",23/02/2020,23/02/2020
83,"Kerry Banks",166,"Martha Trust",,,,"The people we care for at Martha Trust have profound physical and multiple learning disabilities - and huge potential.
Our job is to help them achieve that potential and lead happy, active and fulfilling lives.
Like Peter, who’s made remarkable progress since coming to Martha. Energetic, boisterous and hugely affectionate, Peter’s enthusiasm for life is infectious.
And Alexandra who has blossomed into a confident, funny and outgoing young woman who loves life and is loved by everyone around her.
At Martha Trust we give people a safe, comfortable, stimulating and happy home for life. From our round-the-clock nursing care, tailored therapies and state-of-the-art facilities to day trips, sensory cooking, music and art – we care about people inside and out.
To find out more about the amazing work we do at Martha Trust visit our website at www.marthatrust.org.uk or call us on 01304 610448","Homemead Lane,Hacklinge  Deal,Kent  CT14 0PG",21/04/2020,29/04/2020
84,"Kitty Banks",440.52,"The Lily Foundation",Durham,"DL2 3DL","General charitable purposes in the Parish of Gainford.","It helps to fund research into Mitonchondrial Disease and other metabolic disorders, the training of medical teams and support for families stricken with metabolic disorders.","31 Warren Park,Warlingham  ,  CR6 9LD",05/03/2020,29/05/2020
